key,cell,outcome,window,exposure,model,family,re_tier,converged,message,pd_hess,conv_code,n_obs,n_states,aic,bic,loglik,df,sigma2_u0,sigma2_u1,sigma_u01,sigma2_e,obs_zeros,exp_zeros,exp_zeros_se,zero_ratio,zero_fit_discrepancy,zi_degenerate,zi_degenerate_reason,collapsed_to,eligible_for_selection,is_winner_rs,is_winner_ri,winner,is_m3_winner,lrt_vs,lrt_boundary,lrt_boundary_kind,lrt_chisq,lrt_df,lrt_p
insp_2021__M1__poisson,insp_2021,inspections,2021,none,M1,poisson,rs,True,,True,0,539,49,7863.1583121592,7893.1863211556,-3924.5791560796,7,1.1710987001,0.0075468085231,0.030566068425,1.0,7,1.749,0.043507998954,0.24985714285714286,0.75014285714,False,,,True,False,False,False,False,,False,,,,
insp_2021__M1__nbinom1,insp_2021,inspections,2021,none,M1,nbinom1,rs,True,,True,0,539,49,4910.5674609365,4944.8851855038,-2447.2837304683,8,0.92702247983,0.0056039245848,0.025832009939,109.4549266162,7,15.386,0.14400128536,2.198,1.198,False,,,True,False,False,False,False,,False,,,,
insp_2021__M1__nbinom2,insp_2021,inspections,2021,none,M1,nbinom2,rs,True,,True,0,539,49,4748.3489934127,4782.66671798,-2366.1744967064,8,1.1608773175,0.0060176484315,0.030749409056,32.6682835071,7,2.944,0.053869127907,0.42057142857142854,0.57942857143,False,,,True,False,False,False,False,poisson,True,dispersion -> infinity (Poisson is NB2 at phi->inf),3116.8093187464,1.0,0.0
insp_2021__M1__zip,insp_2021,inspections,2021,none,M1,zip,rs,True,,True,0,539,49,7715.8680140157,7750.185738583,-3849.9340070079,8,1.1515010196,0.0068029984824,0.029008806376,1.0,7,8.284,0.070061589428,1.1834285714285715,0.18342857143,False,,,True,False,False,False,False,,False,,,,
insp_2021__M1__zinb,insp_2021,inspections,2021,none,M1,zinb,rs,True,,True,0,539,49,4715.6134742314,4754.2209143696,-2348.8067371157,9,1.1479287986,0.0053909929799,0.029405323506,43.6467316314,7,8.458,0.074396810703,1.2082857142857144,0.20828571429,False,,,True,True,False,True,False,nbinom2,True,zero-inflation probability -> 0,34.73551918140038,1.0,3.776775406095877e-09
insp_2021__M1__zinb_re,insp_2021,inspections,2021,none,M1,zinb_re,rs,True,,True,0,539,49,4715.6134742314,4754.2209143696,-2348.8067371157,9,1.1479287986,0.0053909929799,0.029405323506,43.6467316314,7,8.458,0.074396810703,1.2082857142857144,0.20828571429,False,,zinb,False,False,False,False,False,,False,,,,
insp_2021__M3__poisson,insp_2021,inspections,2021,none,M3,poisson,rs,True,,True,0,506,46,7675.7195500609,7730.6645267617,-3824.8597750305,13,1.0112883142,0.0076556822654,0.03003072933,1.0,7,0.953,0.030819968125,0.13614285714285715,0.86385714286,False,,,True,False,False,False,False,,False,,,,
insp_2021__M3__nbinom1,insp_2021,inspections,2021,none,M3,nbinom1,rs,True,,True,0,506,46,4704.3039522276,4763.4754655976,-2338.1519761138,14,0.83155054825,0.005041346598,0.023189602385,123.9494824095,7,11.9095,0.12617692017,1.7013571428571428,0.70135714286,False,,,True,False,False,False,False,,False,,,,
insp_2021__M3__nbinom2,insp_2021,inspections,2021,none,M3,nbinom2,rs,True,,True,0,506,46,4565.9722047845,4625.1437181545,-2268.9861023922,14,0.98939091943,0.0058256256321,0.026266470314,32.6006873034,7,1.6675,0.038199495752,0.2382142857142857,0.76178571429,False,,,True,False,False,False,False,poisson,True,dispersion -> infinity (Poisson is NB2 at phi->inf),3111.7473452766,1.0,0.0
insp_2021__M3__zip,insp_2021,inspections,2021,none,M3,zip,rs,True,,True,0,506,46,7527.339240239,7586.510753609,-3749.6696201195,14,0.98555840759,0.006891025245,0.028049048956,1.0,7,7.539,0.063279077275,1.077,0.077,False,,,True,False,False,False,False,,False,,,,
