state,year,time,time2,time3,violations,inspections,log_violations,log_inspections,SPEND_APP_z,SPEND_WORK_z,lii_2017_z,dol_demand_met_pct_z,pct_flc_z,h2a_per_farmworker_z
Alabama,2011,-6,36,-216,5.0,23.0,1.791759469228055,3.1780538303479458,1.3346253880487904,0.9937203466137716,-0.07548607156301732,-0.0730918433578,0.3929489635335324,-0.3198548672616214
Alabama,2012,-5,25,-125,2.0,19.0,1.0986122886681098,2.995732273553991,1.3346253880487904,0.9937203466137716,-0.07548607156301732,-0.0730918433578,0.3929489635335324,-0.1476928258884992
Alabama,2013,-4,16,-64,1.0,24.0,0.6931471805599453,3.2188758248682006,1.3346253880487904,0.9937203466137716,-0.07548607156301732,-0.0730918433578,0.3929489635335324,-0.1297847064687571
Alabama,2014,-3,9,-27,1.0,22.0,0.6931471805599453,3.1354942159291497,1.3346253880487904,0.9937203466137716,-0.07548607156301732,-0.0730918433578,0.3929489635335324,-0.253464248352678
Alabama,2015,-2,4,-8,2.0,29.0,1.0986122886681098,3.4011973816621555,1.3346253880487904,0.9937203466137716,-0.07548607156301732,-0.0730918433578,0.3929489635335324,-0.2819450448674307
Alabama,2016,-1,1,-1,8.0,35.0,2.1972245773362196,3.58351893845611,1.3346253880487904,0.9937203466137716,-0.07548607156301732,-0.0730918433578,0.3929489635335324,-0.0936915137509596
Alabama,2017,0,0,0,4.0,33.0,1.6094379124341003,3.5263605246161616,1.3346253880487904,0.9937203466137716,-0.07548607156301732,-0.0730918433578,0.3929489635335324,-0.1436156356218063
Alabama,2018,1,1,1,3.0,32.0,1.3862943611198906,3.4965075614664802,1.3346253880487904,0.9937203466137716,-0.07548607156301732,-0.0730918433578,0.3929489635335324,-0.0040101884449706
Alabama,2019,2,4,8,3.0,21.0,1.3862943611198906,3.091042453358316,1.3346253880487904,0.9937203466137716,-0.07548607156301732,-0.0730918433578,0.3929489635335324,-0.2253826134755239
Alaska,2011,-6,36,-216,,0.0,,0.0,,4.68185916386757,5.291623428544293,-1.461134060969927,-1.1091756955850682,-0.5142107719680439
Alaska,2012,-5,25,-125,,0.0,,0.0,,4.68185916386757,5.291623428544293,-1.461134060969927,-1.1091756955850682,-0.5142107719680439
Alaska,2013,-4,16,-64,1.0,0.0,0.6931471805599453,0.0,,4.68185916386757,5.291623428544293,-1.461134060969927,-1.1091756955850682,-0.6125998107721841
Alaska,2014,-3,9,-27,1.0,0.0,0.6931471805599453,0.0,,4.68185916386757,5.291623428544293,-1.461134060969927,-1.1091756955850682,-0.6494957003237366
Alaska,2015,-2,4,-8,0.0,0.0,0.0,0.0,,4.68185916386757,5.291623428544293,-1.461134060969927,-1.1091756955850682,-0.6446882601215732
Alaska,2016,-1,1,-1,2.0,2.0,1.0986122886681098,1.0986122886681098,,4.68185916386757,5.291623428544293,-1.461134060969927,-1.1091756955850682,-0.6311452490905216
Alaska,2017,0,0,0,,0.0,,0.0,,4.68185916386757,5.291623428544293,-1.461134060969927,-1.1091756955850682,-0.60113796124671
Alaska,2018,1,1,1,,0.0,,0.0,,4.68185916386757,5.291623428544293,-1.461134060969927,-1.1091756955850682,-0.5323864569990377
Alaska,2019,2,4,8,,0.0,,0.0,,4.68185916386757,5.291623428544293,-1.461134060969927,-1.1091756955850682,-0.6235190875390557
Arizona,2011,-6,36,-216,3.0,8.0,1.3862943611198906,2.1972245773362196,-0.357374819772599,-0.5187793211830823,1.268515111691894,0.2080306310952877,0.3544329466330555,-0.6372934237404289
Arizona,2012,-5,25,-125,2.0,7.0,1.0986122886681098,2.0794415416798357,-0.357374819772599,-0.5187793211830823,1.268515111691894,0.2080306310952877,0.3544329466330555,-0.6295096057222443
Arizona,2013,-4,16,-64,3.0,14.0,1.3862943611198906,2.70805020110221,-0.357374819772599,-0.5187793211830823,1.268515111691894,0.2080306310952877,0.3544329466330555,-0.6160144299673226
Arizona,2014,-3,9,-27,2.0,16.0,1.0986122886681098,2.833213344056216,-0.357374819772599,-0.5187793211830823,1.268515111691894,0.2080306310952877,0.3544329466330555,-0.6033820652961224
Arizona,2015,-2,4,-8,6.0,31.0,1.9459101490553132,3.4657359027997265,-0.357374819772599,-0.5187793211830823,1.268515111691894,0.2080306310952877,0.3544329466330555,-0.6188850960941011
Arizona,2016,-1,1,-1,3.0,24.0,1.3862943611198906,3.2188758248682006,-0.357374819772599,-0.5187793211830823,1.268515111691894,0.2080306310952877,0.3544329466330555,-0.5877456808101453
Arizona,2017,0,0,0,12.0,31.0,2.5649493574615367,3.4657359027997265,-0.357374819772599,-0.5187793211830823,1.268515111691894,0.2080306310952877,0.3544329466330555,-0.5551330874583869
Arizona,2018,1,1,1,9.0,21.0,2.302585092994046,3.091042453358316,-0.357374819772599,-0.5187793211830823,1.268515111691894,0.2080306310952877,0.3544329466330555,-0.5150056269985539
Arizona,2019,2,4,8,8.0,24.0,2.1972245773362196,3.2188758248682006,-0.357374819772599,-0.5187793211830823,1.268515111691894,0.2080306310952877,0.3544329466330555,-0.5603085238582456
Arkansas,2011,-6,36,-216,3.0,36.0,1.3862943611198906,3.6109179126442243,0.6020021141440565,0.111576244684545,-0.6914419283602421,0.6121441881216078,-0.8951978239157519,0.3190191290495832
Arkansas,2012,-5,25,-125,,27.0,,3.332204510175204,0.6020021141440565,0.111576244684545,-0.6914419283602421,0.6121441881216078,-0.8951978239157519,0.3697884545393827
Arkansas,2013,-4,16,-64,2.0,17.0,1.0986122886681098,2.8903717578961645,0.6020021141440565,0.111576244684545,-0.6914419283602421,0.6121441881216078,-0.8951978239157519,-0.0550976890422909
Arkansas,2014,-3,9,-27,2.0,18.0,1.0986122886681098,2.9444389791664403,0.6020021141440565,0.111576244684545,-0.6914419283602421,0.6121441881216078,-0.8951978239157519,-0.1466021541672716
Arkansas,2015,-2,4,-8,1.0,23.0,0.6931471805599453,3.1780538303479458,0.6020021141440565,0.111576244684545,-0.6914419283602421,0.6121441881216078,-0.8951978239157519,-0.3000154430751831
Arkansas,2016,-1,1,-1,4.0,20.0,1.6094379124341003,3.044522437723423,0.6020021141440565,0.111576244684545,-0.6914419283602421,0.6121441881216078,-0.8951978239157519,-0.0860236466285091
Arkansas,2017,0,0,0,7.0,36.0,2.0794415416798357,3.6109179126442243,0.6020021141440565,0.111576244684545,-0.6914419283602421,0.6121441881216078,-0.8951978239157519,0.0862186092028882
Arkansas,2018,1,1,1,4.0,16.0,1.6094379124341003,2.833213344056216,0.6020021141440565,0.111576244684545,-0.6914419283602421,0.6121441881216078,-0.8951978239157519,0.750502691664
Arkansas,2019,2,4,8,6.0,14.0,1.9459101490553132,2.70805020110221,0.6020021141440565,0.111576244684545,-0.6914419283602421,0.6121441881216078,-0.8951978239157519,1.4603295563990115
California,2011,-6,36,-216,17.0,59.0,2.8903717578961645,4.0943445622221,-0.4722667776522052,-0.5377360505201996,1.7740038972160197,0.22560078574860784,1.7024935381497481,-0.6928794293528202
California,2012,-5,25,-125,8.0,52.0,2.1972245773362196,3.970291913552122,-0.4722667776522052,-0.5377360505201996,1.7740038972160197,0.22560078574860784,1.7024935381497481,-0.6913080798060964
California,2013,-4,16,-64,9.0,56.0,2.302585092994046,4.04305126783455,-0.4722667776522052,-0.5377360505201996,1.7740038972160197,0.22560078574860784,1.7024935381497481,-0.6889068731481574
California,2014,-3,9,-27,9.0,55.0,2.302585092994046,4.02535169073515,-0.4722667776522052,-0.5377360505201996,1.7740038972160197,0.22560078574860784,1.7024935381497481,-0.6867950705196725
California,2015,-2,4,-8,21.0,65.0,3.091042453358316,4.189654742026425,-0.4722667776522052,-0.5377360505201996,1.7740038972160197,0.22560078574860784,1.7024935381497481,-0.6828731479798431
California,2016,-1,1,-1,46.0,68.0,3.8501476017100584,4.23410650459726,-0.4722667776522052,-0.5377360505201996,1.7740038972160197,0.22560078574860784,1.7024935381497481,-0.6798017638016013
California,2017,0,0,0,44.0,62.0,3.8066624897703196,4.143134726391533,-0.4722667776522052,-0.5377360505201996,1.7740038972160197,0.22560078574860784,1.7024935381497481,-0.6754772066925752
California,2018,1,1,1,63.0,66.0,4.1588830833596715,4.204692619390966,-0.4722667776522052,-0.5377360505201996,1.7740038972160197,0.22560078574860784,1.7024935381497481,-0.6715425747613509
