state,year,time,time2,time3,violations,inspections,log_violations,log_inspections,covid,SPEND_APP_z,SPEND_WORK_z,lii_2017_z,dol_demand_met_pct_z,pct_flc_z,h2a_per_farmworker_z
Alabama,2011,-6,36,-216,23.0,98.0,3.1780538303479458,4.59511985013459,0.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.358489682978554
Alabama,2012,-5,25,-125,20.0,107.0,3.044522437723423,4.68213122712422,0.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.2056564168614683
Alabama,2013,-4,16,-64,3.0,199.0,1.3862943611198906,5.298317366548036,0.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.1897588568702839
Alabama,2014,-3,9,-27,0.0,239.0,0.0,5.480638923341991,0.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.2995527939497007
Alabama,2015,-2,4,-8,54.0,187.0,4.007333185232471,5.236441962829949,0.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.3248360278045551
Alabama,2016,-1,1,-1,12.0,129.0,2.5649493574615367,4.867534450455582,0.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.1577178768513539
Alabama,2017,0,0,0,12.0,153.0,2.5649493574615367,5.0369526024136295,0.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.2020369761295304
Alabama,2018,1,1,1,41.0,205.0,3.7376696182833684,5.327876168789581,0.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.0781051483607695
Alabama,2019,2,4,8,1.0,107.0,0.6931471805599453,4.68213122712422,0.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.2746239075241418
Alabama,2020,3,9,27,0.0,84.0,0.0,4.442651256490317,1.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.3016135055715609
Alabama,2021,4,16,64,0.0,114.0,0.0,4.74493212836325,1.0,1.269130845648726,0.9965420545114564,-0.07548607156301732,-0.07793413159268513,0.3929489635335324,-0.149111059699084
Alaska,2011,-6,36,-216,12.0,6.0,2.5649493574615367,1.9459101490553132,0.0,,3.237027498905904,5.291623428544293,-3.332654569754838,-1.1091756955850682,-0.5310250889746226
Alaska,2012,-5,25,-125,6.0,6.0,1.9459101490553132,1.9459101490553132,0.0,,3.237027498905904,5.291623428544293,-3.332654569754838,-1.1091756955850682,-0.5310250889746226
