state,year,h2a_workers_cert,emp_farmworker,h2a_per_farmworker,h2a_per_farmworker_z
Alabama,2011,607.0,400.0,1.5175,-0.3198548672616214
Alabama,2012,730.0,330.0,2.212121212121212,-0.1476928258884992
Alabama,2013,731.0,320.0,2.284375,-0.1297847064687571
Alabama,2014,732.0,410.0,1.7853658536585366,-0.25346424835267806
Alabama,2015,735.0,440.0,1.6704545454545454,-0.28194504486743077
Alabama,2016,972.0,400.0,2.43,-0.09369151375095962
Alabama,2017,936.0,420.0,2.2285714285714286,-0.1436156356218063
Alabama,2018,1368.0,490.0,2.7918367346938777,-0.004010188444970625
Alabama,2019,1424.0,750.0,1.8986666666666667,-0.22538261347552394
Alaska,2011,22.0,30.0,0.7333333333333333,-0.5142107719680439
Alaska,2012,22.0,30.0,0.7333333333333333,-0.5142107719680439
Alaska,2013,18.5,55.0,0.33636363636363636,-0.6125998107721841
Alaska,2014,15.0,80.0,0.1875,-0.6494957003237366
Alaska,2015,15.0,72.5,0.20689655172413793,-0.6446882601215732
Alaska,2016,17.0,65.0,0.26153846153846155,-0.6311452490905216
Alaska,2017,22.0,57.5,0.3826086956521739,-0.60113796124671
Alaska,2018,33.0,50.0,0.66,-0.5323864569990377
Alaska,2019,38.0,130.0,0.2923076923076923,-0.6235190875390557
Arizona,2011,2159.0,9120.0,0.23673245614035088,-0.6372934237404289
Arizona,2012,2491.0,9290.0,0.2681377825618945,-0.6295096057222443
Arizona,2013,3442.0,10670.0,0.3225866916588566,-0.6160144299673226
Arizona,2014,4393.0,11760.0,0.37355442176870746,-0.6033820652961224
Arizona,2015,4211.0,13540.0,0.31100443131462335,-0.6188850960941011
Arizona,2016,5410.0,12390.0,0.43664245359160614,-0.5877456808101453
Arizona,2017,6080.0,10700.0,0.5682242990654206,-0.5551330874583869
Arizona,2018,7513.0,10290.0,0.7301263362487852,-0.5150056269985539
Arizona,2019,5665.0,10350.0,0.5473429951690821,-0.5603085238582456
Arkansas,2011,2539.0,620.0,4.09516129032258,0.3190191290495832
Arkansas,2012,2881.0,670.0,4.3,0.3697884545393827
Arkansas,2013,2715.0,1050.0,2.585714285714286,-0.05509768904229092
Arkansas,2014,2549.0,1150.0,2.216521739130435,-0.14660215416727168
Arkansas,2015,2604.0,1630.0,1.5975460122699388,-0.30001544307518313
Arkansas,2016,3150.0,1280.0,2.4609375,-0.08602364662850913
Arkansas,2017,3219.0,1020.0,3.1558823529411764,0.08621860920288824
Arkansas,2018,3560.0,610.0,5.836065573770492,0.750502691664
Arkansas,2019,4002.0,460.0,8.7,1.4603295563990117
California,2011,1865.0,149680.0,0.012459914484233031,-0.6928794293528202
California,2012,3089.0,164310.0,0.018799829590408376,-0.6913080798060964
California,2013,4876.0,171160.0,0.0284879644776817,-0.6889068731481574
