state,random_intercept,random_slope_time
New Jersey,73.58458735308979,1.538984426967103
Florida,65.60377684197039,2.3181504848031778
North Dakota,58.14467799029205,-0.04452646540551997
North Carolina,41.27073452116869,0.5438117766004436
Georgia,37.68147903301248,0.08349379925024354
California,35.68869803291526,1.831558416635007
Pennsylvania,30.651591876359312,0.591000103394983
Colorado,17.043262489688413,-0.2710571943951512
South Carolina,16.69844521098508,1.5712442625047602
Texas,15.504597571497703,1.3387399235022266
Virginia,9.225569309313995,-0.06478708584082948
Wisconsin,8.563851128583794,0.2815517084572637
Tennessee,8.333232240946332,0.036028433370824606
Maryland,7.3082855615366284,0.491548415345883
Illinois,1.633738692500555,-0.512713096213698
Louisiana,-1.5923206873618732,-0.1802002777999641
Alabama,-2.137356342214393,0.5549008266886388
Ohio,-2.3771324989252367,-0.6425567760336345
Missouri,-2.9781544436158027,-0.11911104642928223
New York,-3.882324939005688,-3.4187943037289292
Arkansas,-5.7142859202427765,-0.3472393639150838
Indiana,-8.184861814276747,-1.137117966297349
Washington,-8.320511400878269,-0.013913269269026493
Arizona,-8.540726768390094,0.9499275686513414
Wyoming,-9.326812161744432,-0.27173452803821824
South Dakota,-9.685364157496435,0.35847445480977663
Oklahoma,-10.013599029864139,-0.46743614817003154
Massachusetts,-10.510710545717423,-0.9850011262397778
Iowa,-10.62951128973658,-0.06087446629981572
Kentucky,-10.704500427087902,-0.5043820613173357
Nevada,-11.028383076329533,0.2451115848615445
Minnesota,-11.063274691890802,-1.8437127708898817
Montana,-13.19134138549573,0.2637449971076802
Michigan,-13.547823183467878,-0.5928300253043622
Kansas,-13.548584225280294,-0.18467365158176358
Nebraska,-18.247109392789714,-0.6398548306477838
Hawaii,-18.704462776631605,-0.2359225241327898
New Mexico,-19.64895269413402,0.20064980241783392
Idaho,-19.818140522280093,0.179155224650177
Utah,-20.547044321610752,-0.08987352051208534
Delaware,-20.578762730961774,-0.1501690652691208
Connecticut,-20.614197814535547,-0.30904593243818795
Oregon,-21.88838797295701,0.24708202331438642
New Hampshire,-23.28523265061441,0.054620164715919725
Maine,-23.317752288403565,-0.4601874429167231
Vermont,-25.498157916831126,0.03898248023136951
Alaska,-27.810747783089873,-0.17104593919424232
