cell,window,outcome,model,family,zi_tier_reached,block,term,label,b,se,z,p,stars,irr,odds_ratio
insp_2019,2019,inspections,M1,zinb2_re,mirror,conditional,(Intercept),Intercept,2.8330717238,0.15209500973,18.6269867022,1.9415195088e-77,***,,
insp_2019,2019,inspections,M1,zinb2_re,mirror,conditional,time,time,-0.063059421954,0.01651921148,-3.8173384988,0.00013489903352,***,0.9388876814908882,
insp_2019,2019,inspections,M1,zinb2_re,mirror,conditional,time2,time²,-0.010267572845,0.010559701019,-0.97233556387,0.3308836367,,0.9897849587367207,
insp_2019,2019,inspections,M1,zinb2_re,mirror,conditional,time3,time³,-0.0009087239125,0.0016474812448,-0.55158376787,0.58123356009,,0.9990916888520355,
insp_2019,2019,inspections,M1,zinb2_re,mirror,zero_inflated,(Intercept),Intercept,-10.8473391372,2.9967634709,-3.6196847841,0.00029496211269,***,,
insp_2019,2019,inspections,M1,zinb2_re,mirror,zero_inflated,time,time,0.24894536197,0.41910695254,0.59399005544,0.55251876432,,,1.2826719484867855
insp_2019,2019,inspections,M1,zinb2_re,mirror,zero_inflated,time2,time²,0.30658207626,0.3133909333,0.97827359916,0.32793902375,,,1.3587729859055513
insp_2019,2019,inspections,M1,zinb2_re,mirror,zero_inflated,time3,time³,0.036014725654,0.047294351136,0.76150163368,0.44635750346,,,1.0366711120386336
insp_2019,2019,inspections,M2,zinb2,mirror,conditional,(Intercept),Intercept,2.9635685591,0.11403048536,25.9892655006,6.5487108471e-149,***,,
insp_2019,2019,inspections,M2,zinb2,mirror,conditional,time,time,-0.065032094356,0.016670424354,-3.9010461266,9.5777897287e-05,***,0.9370373892832446,
insp_2019,2019,inspections,M2,zinb2,mirror,conditional,time2,time²,-0.010341559608,0.010659127218,-0.97020697816,0.33194333312,,0.9897117304605526,
insp_2019,2019,inspections,M2,zinb2,mirror,conditional,time3,time³,-0.00086589296341,0.0016639126529,-0.52039568416,0.60278781753,,0.999134481813722,
insp_2019,2019,inspections,M2,zinb2,mirror,conditional,SPEND_APP_z,STAG $ per applicator (z),-0.29986229928,0.11204740754,-2.6762091679,0.0074460158583,**,0.7409202389079252,
insp_2019,2019,inspections,M2,zinb2,mirror,conditional,SPEND_WORK_z,STAG $ per farmworker (z),-0.11255575129,0.15321027434,-0.73464884634,0.46255338139,,0.8935475292923905,
insp_2019,2019,inspections,M2,zinb2,mirror,conditional,lii_2017_z,Labor intensity index 2017 (z),-0.22118644737,0.16932620796,-1.3062741441,0.1914593466,,0.8015672162576909,
insp_2019,2019,inspections,M2,zinb2,mirror,zero_inflated,(Intercept),Intercept,-6.8617796499,1.7284154536,-3.9699828161,7.187781553e-05,***,,
insp_2019,2019,inspections,M2,zinb2,mirror,zero_inflated,time,time,0.20162936394,0.36554903834,0.55157952229,0.58123646954,,,1.2233944899578753
insp_2019,2019,inspections,M2,zinb2,mirror,zero_inflated,time2,time²,0.24956381311,0.2818438611,0.88546833036,0.37590409309,,,1.2834654637654954
insp_2019,2019,inspections,M2,zinb2,mirror,zero_inflated,time3,time³,0.029314476164,0.042142094239,0.695610332,0.48667289395,,,1.0297483748806702
insp_2019,2019,inspections,M2,zinb2,mirror,zero_inflated,SPEND_APP_z,STAG $ per applicator (z),-1.5408870324,1.6033754577,-0.96102695411,0.33653861534,,,0.2141910227594961
insp_2019,2019,inspections,M2,zinb2,mirror,zero_inflated,SPEND_WORK_z,STAG $ per farmworker (z),0.15155515419,0.53014625674,0.28587423238,0.77497445009,,,1.1636424797982396
insp_2019,2019,inspections,M2,zinb2,mirror,zero_inflated,lii_2017_z,Labor intensity index 2017 (z),-1.5841140156,1.1020215571,-1.437461913,0.15058678753,,,0.20512945412684053
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,(Intercept),Intercept,2.9623560734,0.11420974447,25.9378574668,2.492766017e-148,***,,
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,time,time,-0.064913956208,0.016874793683,-3.8467999922,0.00011967058145,***,0.9371480956842172,
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,time2,time²,-0.010323427499,0.01065398208,-0.96897361211,0.33255835529,,0.9897296761842242,
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,time3,time³,-0.00086539648282,0.0016638009634,-0.52013221645,0.60297142537,,0.999134977864722,
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,SPEND_APP_z,STAG $ per applicator (z),-0.28711080383,0.12263808403,-2.3411227117,0.019225846842,*,0.7504285738700824,
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,SPEND_WORK_z,STAG $ per farmworker (z),-0.11137353852,0.15392135041,-0.72357433341,0.46932710352,,0.8946045172613529,
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,lii_2017_z,Labor intensity index 2017 (z),-0.22149465166,0.17225270488,-1.2858703834,0.19848830139,,0.8013202078693946,
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,h2a_per_farmworker_z,H-2A per farmworker (z),-0.0019380013397,0.040777260734,-0.047526521027,0.96209359349,,0.9980638753723438,
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,dol_demand_met_pct_z,DOL demand met % (z),0.028865944198,0.13916287591,0.20742560837,0.83567748489,,1.0292866033849797,
insp_2019,2019,inspections,M3,zinb2,mirror,conditional,pct_flc_z,% farm labor contractor (z),0.032794991495,0.13295126239,0.24666927494,0.80516418694,,1.0333386743082122,
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,(Intercept),Intercept,-11.4002552323,4.9234287068,-2.3155113867,0.02058496213,*,,
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,time,time,0.53782258776,0.42250581625,1.2729353469,0.20304098506,,,1.712274472789034
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,time2,time²,0.30283080784,0.28748090174,1.0533945247,0.29216021257,,,1.3536854121070703
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,time3,time³,0.03077463972,0.042741560668,0.72001675275,0.47151468091,,,1.0312530742157424
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,SPEND_APP_z,STAG $ per applicator (z),-4.7018750064,4.3800185783,-1.0734828911,0.28305451097,,,0.009078239376833499
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,SPEND_WORK_z,STAG $ per farmworker (z),1.2011212517,1.0865098698,1.1054858175,0.26894913646,,,3.323841697295034
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,lii_2017_z,Labor intensity index 2017 (z),-4.9337019398,2.9798169284,-1.6557063935,0.097781291932,+,,0.007199800657512514
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,h2a_per_farmworker_z,H-2A per farmworker (z),-4.6870760397,3.538204743,-1.3247045833,0.18526915242,,,0.009213586971145686
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,dol_demand_met_pct_z,DOL demand met % (z),0.28668604496,2.0798122804,0.13784226955,0.89036507693,,,1.3320059578386052
insp_2019,2019,inspections,M3,zinb2,mirror,zero_inflated,pct_flc_z,% farm labor contractor (z),-2.6710502784,1.5241438477,-1.7524922483,0.07968920163,+,,0.06917952937511886
insp_2021,2021,inspections,M1,zinb2,mirror,conditional,(Intercept),Intercept,3.5509193681,0.15396466002,23.06321053,1.0840614254e-117,***,,
insp_2021,2021,inspections,M1,zinb2,mirror,conditional,time,time,-0.046386567842,0.016248239999,-2.8548672253,0.004305482448,**,0.95467284502938,
insp_2021,2021,inspections,M1,zinb2,mirror,conditional,time2,time²,-0.0028449967266,0.0036762733349,-0.77388063056,0.4390013849,,0.9971590464414117,
insp_2021,2021,inspections,M1,zinb2,mirror,conditional,time3,time³,-5.7975324722e-05,0.00091004206363,-0.063706203305,0.94920416526,,0.9999420263558146,
insp_2021,2021,inspections,M1,zinb2,mirror,zero_inflated,(Intercept),Intercept,-3.7830249959,0.90053378821,-4.2008695792,2.6589173687e-05,***,,
insp_2021,2021,inspections,M1,zinb2,mirror,zero_inflated,time,time,2.1891589444,2.0359116361,1.0752720823,0.28225293146,,,8.92770126305669
insp_2021,2021,inspections,M1,zinb2,mirror,zero_inflated,time2,time²,-1.7573147996,1.4243287311,-1.233784562,0.21728319359,,,0.1725074595633851
insp_2021,2021,inspections,M1,zinb2,mirror,zero_inflated,time3,time³,0.30342789656,0.24986222533,1.2143808299,0.22460233233,,,1.3544939237496383
insp_2021,2021,inspections,M2,zinb2,mirror,conditional,(Intercept),Intercept,3.6837195663,0.1512552739,24.3543214815,5.2173008775e-131,***,,
