cell,window,outcome,model,family,family_label,converged,zi_tier_reached,zi_degenerate,zi_degenerate_reason,collapsed_to,eligible,n_obs,n_states,n_years,aic,bic,loglik,df,delta_aic_to_winner,is_winner,obs_zeros,exp_zeros,exp_zeros_se,message
insp_2019,2019,inspections,M1,poisson,Poisson,True,,False,,,True,450,50,9,4356.6517631696,4381.3072486661,-2172.3258815848,6,1022.8475813843997,False,15,4.19,0.075377655147,NA/NaN function evaluation
insp_2019,2019,inspections,M1,nbinom1,NB1,True,,False,,,True,450,50,9,3417.9080380263,3446.6727711056,-1701.9540190131,7,84.10385624109995,False,15,13.2525,0.12907440481,NA/NaN function evaluation
insp_2019,2019,inspections,M1,nbinom2,NB2,True,,False,,,True,450,50,9,3353.8434810924,3382.6082141718,-1669.9217405462,7,20.039299307200054,False,15,5.7735,0.081057905642,
insp_2019,2019,inspections,M1,zip,ZIP,True,mirror,False,,,True,450,50,9,4286.5163412267,4327.6088170544,-2133.2581706134,10,952.7121594415003,False,15,8.084,0.080772731272,
insp_2019,2019,inspections,M1,zinb1,ZI-NB1,True,intercept,False,,,True,450,50,9,3416.7121036902,3449.5860843524,-1700.3560518451,8,82.90792190499997,False,15,15.606,0.13293877673,NA/NaN function evaluation
insp_2019,2019,inspections,M1,zinb2,ZI-NB2,True,mirror,False,,,True,450,50,9,3338.6287904805,3383.8305138909,-1658.3143952403,11,4.824608695299958,False,15,9.7215,0.091036326163,
insp_2019,2019,inspections,M1,zinb1_re,ZI-NB1 + ZI-RE,True,intercept,False,,,True,450,50,9,3408.8206769743,3445.8039052192,-1695.4103384872,9,75.01649518910017,False,15,57.32,0.41117737464,NA/NaN function evaluation
insp_2019,2019,inspections,M1,zinb2_re,ZI-NB2 + ZI-RE,True,mirror,False,,,True,450,50,9,3333.8041817852,3383.1151527783,-1654.9020908926,12,0.0,True,15,36.3235,0.3065116614,
insp_2019,2019,inspections,M3,poisson,Poisson,True,,False,,,True,423,47,9,4257.2367406817,4305.8052068302,-2116.6183703408,12,1020.7407080766002,False,4,0.725,0.024728389487,NA/NaN function evaluation
insp_2019,2019,inspections,M3,nbinom1,NB1,True,,False,,,True,423,47,9,3310.5338238997,3363.1496622273,-1642.2669119499,13,74.03779129460008,False,4,5.8035,0.07352310316,NA/NaN function evaluation
insp_2019,2019,inspections,M3,nbinom2,NB2,True,,False,,,True,423,47,9,3253.2159959399,3305.8318342675,-1613.6079979699,13,16.719963334800013,False,4,1.4745,0.03290465367,
insp_2019,2019,inspections,M3,zip,ZIP,True,mirror,False,,,True,423,47,9,4185.1978307567,4274.2400186958,-2070.5989153784,22,948.7017981515996,False,4,4.7205,0.049894234059,
insp_2019,2019,inspections,M3,zinb1,ZI-NB1,True,covariates,False,,,True,423,47,9,3309.2325309718,3390.1799745527,-1634.6162654859,20,72.73649836669983,False,4,8.575,0.079440813953,NA/NaN function evaluation
insp_2019,2019,inspections,M3,zinb2,ZI-NB2,True,mirror,False,,,True,423,47,9,3236.4960326051,3329.5855927232,-1595.2480163026,23,0.0,True,4,5.3535,0.054952513722,
insp_2019,2019,inspections,M3,zinb1_re,ZI-NB1 + ZI-RE,True,covariates,False,,,True,423,47,9,3311.1855682509,3396.1803840109,-1634.5927841255,21,74.68953564579988,False,4,8.568,0.080320692893,NA/NaN function evaluation
insp_2019,2019,inspections,M3,zinb2_re,ZI-NB2 + ZI-RE,True,mirror,False,,,True,423,47,9,3238.3877547045,3335.5246870016,-1595.1938773522,24,1.8917220993998853,False,4,5.3325,0.056462960496,
insp_2021,2021,inspections,M1,poisson,Poisson,True,,False,,,True,539,49,11,10251.9533588481,10277.6916522735,-5119.976679424,6,5472.999319449701,False,7,0.9855,0.034252466929,NA/NaN function evaluation
insp_2021,2021,inspections,M1,nbinom1,NB1,True,,False,,,True,539,49,11,5003.9169938163,5033.9450028127,-2494.9584969082,7,224.96295441790062,False,7,17.2865,0.15937819669,NA/NaN function evaluation
insp_2021,2021,inspections,M1,nbinom2,NB2,True,,False,,,True,539,49,11,4810.2911274792,4840.3191364755,-2398.1455637396,7,31.33708808080064,False,7,2.7735,0.052966986188,
insp_2021,2021,inspections,M1,zip,ZIP,True,mirror,False,,,True,539,49,11,9992.7031480325,10035.6003037416,-4986.3515740162,10,5213.749108634101,False,7,7.9835,0.069487611407,
insp_2021,2021,inspections,M1,zinb1,ZI-NB1,True,mirror,False,,,True,539,49,11,5003.4666937723,5050.6535650523,-2490.7333468861,11,224.51265437389975,False,7,19.5855,0.15357127643,
