cell,model,zi_family,zi_family_label,plain_family,plain_family_label,is_own_counterpart,zi_tier_reached,n_obs,aic_zi,aic_plain,margin,zi_wins
insp_2019,M1,zip,ZIP,poisson,Poisson,True,mirror,450,4286.5163412267,4356.6517631696,70.13542194289948,True
insp_2019,M1,zip,ZIP,nbinom1,NB1,False,mirror,450,4286.5163412267,3417.9080380263,-868.6083032004003,False
insp_2019,M1,zip,ZIP,nbinom2,NB2,False,mirror,450,4286.5163412267,3353.8434810924,-932.6728601343002,False
insp_2019,M1,zinb1,ZI-NB1,poisson,Poisson,False,intercept,450,3416.7121036902,4356.6517631696,939.9396594793998,True
insp_2019,M1,zinb1,ZI-NB1,nbinom1,NB1,True,intercept,450,3416.7121036902,3417.9080380263,1.195934336099981,True
insp_2019,M1,zinb1,ZI-NB1,nbinom2,NB2,False,intercept,450,3416.7121036902,3353.8434810924,-62.86862259779991,False
insp_2019,M1,zinb2,ZI-NB2,poisson,Poisson,False,mirror,450,3338.6287904805,4356.6517631696,1018.0229726890998,True
insp_2019,M1,zinb2,ZI-NB2,nbinom1,NB1,False,mirror,450,3338.6287904805,3417.9080380263,79.27924754579999,True
insp_2019,M1,zinb2,ZI-NB2,nbinom2,NB2,True,mirror,450,3338.6287904805,3353.8434810924,15.214690611900096,True
insp_2019,M1,zinb1_re,ZI-NB1 + ZI-RE,poisson,Poisson,False,intercept,450,3408.8206769743,4356.6517631696,947.8310861952996,True
insp_2019,M1,zinb1_re,ZI-NB1 + ZI-RE,nbinom1,NB1,True,intercept,450,3408.8206769743,3417.9080380263,9.087361051999778,True
insp_2019,M1,zinb1_re,ZI-NB1 + ZI-RE,nbinom2,NB2,False,intercept,450,3408.8206769743,3353.8434810924,-54.977195881900116,False
insp_2019,M1,zinb2_re,ZI-NB2 + ZI-RE,poisson,Poisson,False,mirror,450,3333.8041817852,4356.6517631696,1022.8475813843997,True
insp_2019,M1,zinb2_re,ZI-NB2 + ZI-RE,nbinom1,NB1,False,mirror,450,3333.8041817852,3417.9080380263,84.10385624109995,True
insp_2019,M1,zinb2_re,ZI-NB2 + ZI-RE,nbinom2,NB2,True,mirror,450,3333.8041817852,3353.8434810924,20.039299307200054,True
insp_2019,M3,zip,ZIP,poisson,Poisson,True,mirror,423,4185.1978307567,4257.2367406817,72.03890992500055,True
insp_2019,M3,zip,ZIP,nbinom1,NB1,False,mirror,423,4185.1978307567,3310.5338238997,-874.6640068569995,False
insp_2019,M3,zip,ZIP,nbinom2,NB2,False,mirror,423,4185.1978307567,3253.2159959399,-931.9818348167996,False
insp_2019,M3,zinb1,ZI-NB1,poisson,Poisson,False,covariates,423,3309.2325309718,4257.2367406817,948.0042097099004,True
insp_2019,M3,zinb1,ZI-NB1,nbinom1,NB1,True,covariates,423,3309.2325309718,3310.5338238997,1.3012929279002492,True
insp_2019,M3,zinb1,ZI-NB1,nbinom2,NB2,False,covariates,423,3309.2325309718,3253.2159959399,-56.01653503189982,False
insp_2019,M3,zinb2,ZI-NB2,poisson,Poisson,False,mirror,423,3236.4960326051,4257.2367406817,1020.7407080766002,True
insp_2019,M3,zinb2,ZI-NB2,nbinom1,NB1,False,mirror,423,3236.4960326051,3310.5338238997,74.03779129460008,True
insp_2019,M3,zinb2,ZI-NB2,nbinom2,NB2,True,mirror,423,3236.4960326051,3253.2159959399,16.719963334800013,True
insp_2019,M3,zinb1_re,ZI-NB1 + ZI-RE,poisson,Poisson,False,covariates,423,3311.1855682509,4257.2367406817,946.0511724308003,True
insp_2019,M3,zinb1_re,ZI-NB1 + ZI-RE,nbinom1,NB1,True,covariates,423,3311.1855682509,3310.5338238997,-0.6517443511997953,False
insp_2019,M3,zinb1_re,ZI-NB1 + ZI-RE,nbinom2,NB2,False,covariates,423,3311.1855682509,3253.2159959399,-57.969572310999865,False
insp_2019,M3,zinb2_re,ZI-NB2 + ZI-RE,poisson,Poisson,False,mirror,423,3238.3877547045,4257.2367406817,1018.8489859772003,True
insp_2019,M3,zinb2_re,ZI-NB2 + ZI-RE,nbinom1,NB1,False,mirror,423,3238.3877547045,3310.5338238997,72.1460691952002,True
insp_2019,M3,zinb2_re,ZI-NB2 + ZI-RE,nbinom2,NB2,True,mirror,423,3238.3877547045,3253.2159959399,14.828241235400128,True
insp_2021,M1,zip,ZIP,poisson,Poisson,True,mirror,539,9992.7031480325,10251.9533588481,259.25021081560044,True
insp_2021,M1,zip,ZIP,nbinom1,NB1,False,mirror,539,9992.7031480325,5003.9169938163,-4988.7861542162,False
insp_2021,M1,zip,ZIP,nbinom2,NB2,False,mirror,539,9992.7031480325,4810.2911274792,-5182.4120205533,False
insp_2021,M1,zinb1,ZI-NB1,poisson,Poisson,False,mirror,539,5003.4666937723,10251.9533588481,5248.486665075801,True
insp_2021,M1,zinb1,ZI-NB1,nbinom1,NB1,True,mirror,539,5003.4666937723,5003.9169938163,0.4503000440008691,True
insp_2021,M1,zinb1,ZI-NB1,nbinom2,NB2,False,mirror,539,5003.4666937723,4810.2911274792,-193.1755662930991,False
insp_2021,M1,zinb2,ZI-NB2,poisson,Poisson,False,mirror,539,4778.9540393984,10251.9533588481,5472.999319449701,True
insp_2021,M1,zinb2,ZI-NB2,nbinom1,NB1,False,mirror,539,4778.9540393984,5003.9169938163,224.96295441790062,True
insp_2021,M1,zinb2,ZI-NB2,nbinom2,NB2,True,mirror,539,4778.9540393984,4810.2911274792,31.33708808080064,True
insp_2021,M1,zinb1_re,ZI-NB1 + ZI-RE,poisson,Poisson,False,mirror,539,5011.2632490616,10251.9533588481,5240.690109786501,True
insp_2021,M1,zinb1_re,ZI-NB1 + ZI-RE,nbinom1,NB1,True,mirror,539,5011.2632490616,5003.9169938163,-7.3462552452992895,False
insp_2021,M1,zinb1_re,ZI-NB1 + ZI-RE,nbinom2,NB2,False,mirror,539,5011.2632490616,4810.2911274792,-200.97212158239927,False
insp_2021,M3,zip,ZIP,poisson,Poisson,True,mirror,506,9337.8770022723,9578.0550404034,240.17803813110004,True
insp_2021,M3,zip,ZIP,nbinom1,NB1,False,mirror,506,9337.8770022723,4771.5327628649,-4566.3442394074,False
insp_2021,M3,zip,ZIP,nbinom2,NB2,False,mirror,506,9337.8770022723,4620.8256851708,-4717.0513171015,False
insp_2021,M3,zinb1,ZI-NB1,poisson,Poisson,False,intercept,506,4770.9309173426,9578.0550404034,4807.1241230608,True
insp_2021,M3,zinb1,ZI-NB1,nbinom1,NB1,True,intercept,506,4770.9309173426,4771.5327628649,0.6018455223002093,True
insp_2021,M3,zinb1,ZI-NB1,nbinom2,NB2,False,intercept,506,4770.9309173426,4620.8256851708,-150.1052321717998,False
insp_2021,M3,zinb2,ZI-NB2,poisson,Poisson,False,mirror,506,4585.7253936399,9578.0550404034,4992.3296467635,True
insp_2021,M3,zinb2,ZI-NB2,nbinom1,NB1,False,mirror,506,4585.7253936399,4771.5327628649,185.807369225,True
insp_2021,M3,zinb2,ZI-NB2,nbinom2,NB2,True,mirror,506,4585.7253936399,4620.8256851708,35.100291530899995,True
insp_2021,M3,zinb2_re,ZI-NB2 + ZI-RE,poisson,Poisson,False,mirror,506,4587.725255773,9578.0550404034,4990.3297846304,True
insp_2021,M3,zinb2_re,ZI-NB2 + ZI-RE,nbinom1,NB1,False,mirror,506,4587.725255773,4771.5327628649,183.80750709190033,True
