state,year,violations,time,time2,time3,spending_2017,spending_2017m
Alabama,2011,5.0,-6,36,-216,704284.5215814065,0.7042845215814064
Arizona,2011,3.0,-6,36,-216,713468.6619928069,0.7134686619928069
Arkansas,2011,3.0,-6,36,-216,639135.7514703986,0.6391357514703986
California,2011,17.0,-6,36,-216,2788332.4897861197,2.7883324897861197
Colorado,2011,6.0,-6,36,-216,566453.7631980226,0.5664537631980227
Connecticut,2011,5.0,-6,36,-216,0.0,0.0
Delaware,2011,6.0,-6,36,-216,152560.47195017315,0.15256047195017314
Florida,2011,24.0,-6,36,-216,81728.82425902133,0.08172882425902134
Georgia,2011,18.0,-6,36,-216,219034.33873183397,0.21903433873183398
Hawaii,2011,2.0,-6,36,-216,0.0,0.0
Idaho,2011,2.0,-6,36,-216,626972.3229853427,0.6269723229853427
Illinois,2011,18.0,-6,36,-216,0.0,0.0
Indiana,2011,2.0,-6,36,-216,822831.6363102886,0.8228316363102886
Iowa,2011,2.0,-6,36,-216,53223.98979278826,0.053223989792788265
Louisiana,2011,6.0,-6,36,-216,516696.1652714736,0.5166961652714736
Maryland,2011,3.0,-6,36,-216,212974.41884244172,0.21297441884244173
Massachusetts,2011,12.0,-6,36,-216,84348.50550593717,0.08434850550593717
Michigan,2011,9.0,-6,36,-216,154023.96276323803,0.15402396276323804
Minnesota,2011,2.0,-6,36,-216,114851.8821547175,0.1148518821547175
Missouri,2011,19.0,-6,36,-216,0.0,0.0
Nebraska,2011,4.0,-6,36,-216,72251.54979794522,0.07225154979794522
Nevada,2011,4.0,-6,36,-216,602984.3682064915,0.6029843682064915
New Jersey,2011,10.0,-6,36,-216,108631.77376977757,0.10863177376977758
New Mexico,2011,1.0,-6,36,-216,752683.2415899421,0.7526832415899422
New York,2011,2.0,-6,36,-216,1188996.3839085263,1.1889963839085262
North Carolina,2011,19.0,-6,36,-216,81728.82425902133,0.08172882425902134
North Dakota,2011,2.0,-6,36,-216,57755.03580970841,0.05775503580970841
Ohio,2011,10.0,-6,36,-216,54485.882839347556,0.054485882839347556
Oklahoma,2011,1.0,-6,36,-216,710256.174340599,0.710256174340599
Oregon,2011,7.0,-6,36,-216,1826877.870355963,1.826877870355963
Pennsylvania,2011,9.0,-6,36,-216,0.0,0.0
South Carolina,2011,1.0,-6,36,-216,852669.1954707721,0.8526691954707721
South Dakota,2011,5.0,-6,36,-216,232040.1189655862,0.2320401189655862
Tennessee,2011,16.0,-6,36,-216,0.0,0.0
Texas,2011,6.0,-6,36,-216,1602471.2235761695,1.6024712235761696
Utah,2011,1.0,-6,36,-216,0.0,0.0
Virginia,2011,1.0,-6,36,-216,190700.58993771643,0.19070058993771644
Washington,2011,5.0,-6,36,-216,734201.6301308355,0.7342016301308355
Wisconsin,2011,12.0,-6,36,-216,149119.14359003995,0.14911914359003994
Alabama,2012,2.0,-5,25,-125,53120.685732205544,0.05312068573220555
Arizona,2012,2.0,-5,25,-125,181496.03212627507,0.18149603212627508
California,2012,8.0,-5,25,-125,2974694.343580407,2.974694343580407
Colorado,2012,8.0,-5,25,-125,537428.9683528316,0.5374289683528316
Delaware,2012,2.0,-5,25,-125,53381.185919492666,0.05338118591949267
Florida,2012,30.0,-5,25,-125,330292.8850057057,0.3302928850057057
Georgia,2012,18.0,-5,25,-125,0.0,0.0
Idaho,2012,3.0,-5,25,-125,638744.3239805918,0.6387443239805919
Illinois,2012,12.0,-5,25,-125,16014.3557758478,0.0160143557758478
