cell,outcome,model,term,b,se,z,p,irr
insp_2021,inspections,M1,(Intercept),3.5133867417,0.15738346201,22.3237352697,2.1735103844e-110,33.561740470119474
insp_2021,inspections,M1,time,-0.059221531523,0.018611202462,-3.1820368213,0.0014624322453,0.9424979530213182
insp_2021,inspections,M1,time2,-0.0046891935244,0.0034209197873,-1.3707405657,0.17045584436,0.9953217835789314
insp_2021,inspections,M1,time3,-0.00010068130195,0.00084407593707,-0.11927991017,0.90505359922,0.9998993237662422
insp_2021,inspections,M2,(Intercept),3.6369846573,0.15655634542,23.2311545573,2.2060972711e-119,37.97714978071746
insp_2021,inspections,M2,time,-0.057631636519,0.019067263148,-3.0225437217,0.0025065987032,0.9439976176468549
insp_2021,inspections,M2,time2,-0.0037343688928,0.0034950198556,-1.0684828834,0.28530274735,0.9962725951911972
insp_2021,inspections,M2,time3,1.5318473534e-05,0.00086333526814,0.017743365873,0.98584358512,1.0000153185908625
insp_2021,inspections,M2,SPEND_APP_z,0.075837830883,0.16172029001,0.46894444028,0.63910934985,1.0787876139363124
insp_2021,inspections,M2,SPEND_WORK_z,0.091333484097,0.18298908154,0.49911985639,0.61769494985,1.0956343209637596
insp_2021,inspections,M2,lii_2017_z,0.099426844171,0.22508205095,0.44173599695,0.65868025792,1.1045376644157603
insp_2021,inspections,M3,(Intercept),3.6354919699,0.15568811314,23.3511210112,1.3424858006e-120,37.92050405544982
insp_2021,inspections,M3,time,-0.061051130657,0.019127335883,-3.1918261398,0.001413764028,0.940775136095436
insp_2021,inspections,M3,time2,-0.0046728562089,0.0035591533477,-1.3129123003,0.1892125016,0.9953380445977641
insp_2021,inspections,M3,time3,-7.5250178963e-05,0.0008641144829,-0.087083575674,0.9306050805,0.9999247526522607
insp_2021,inspections,M3,SPEND_APP_z,0.082700538804,0.1758433973,0.47030789939,0.63813505457,1.0862164801527927
insp_2021,inspections,M3,SPEND_WORK_z,0.085525250358,0.17955924122,0.47630659261,0.63385596932,1.0892890659356942
insp_2021,inspections,M3,lii_2017_z,0.07333387179,0.22953218221,0.31949276604,0.74935287605,1.0760897529573357
insp_2021,inspections,M3,h2a_per_farmworker_z,0.067499012968,0.051850503777,1.3018005236,0.19298458476,1.0698292036417223
insp_2021,inspections,M3,dol_demand_met_pct_z,0.13659896112,0.21184675879,0.64480080743,0.51905627863,1.1463683180552735
insp_2021,inspections,M3,pct_flc_z,0.0056398730692,0.18237533818,0.030924537964,0.97532972081,1.0056558070945278
insp_2021,inspections,M3covid,(Intercept),3.6179367989,0.15598541966,23.1940703605,5.2259563528e-119,37.26061232568293
insp_2021,inspections,M3covid,time,-0.035570715731,0.020872027385,-1.7042290657,0.088338301091,0.9650544872834395
insp_2021,inspections,M3covid,time2,0.012075747121,0.0064101881214,1.8838366195,0.059587078532,1.012148953331723
insp_2021,inspections,M3covid,time3,0.00198963569,0.0010789590354,1.8440326506,0.065178381952,1.0019916163284546
insp_2021,inspections,M3covid,SPEND_APP_z,0.084879843429,0.17612740722,0.48192297139,0.62986066697,1.0885862580477919
insp_2021,inspections,M3covid,SPEND_WORK_z,0.083682412568,0.17990893029,0.4651376251,0.6418329033,1.0872835313857578
insp_2021,inspections,M3covid,lii_2017_z,0.07366235145,0.22946680872,0.32101527824,0.7481988128,1.076443284614317
insp_2021,inspections,M3covid,h2a_per_farmworker_z,0.066367563398,0.051910040474,1.2785111087,0.20106927043,1.068619430377069
insp_2021,inspections,M3covid,dol_demand_met_pct_z,0.1374657613,0.21175852835,0.64916281,0.51623314717,1.1473624211018172
insp_2021,inspections,M3covid,pct_flc_z,0.0060625913431,0.1823113647,0.033254050581,0.9734719958,1.006081006044792
insp_2021,inspections,M3covid,covid,-0.4396960662,0.13994759802,-3.1418621858,0.0016787703366,0.6442321952696287
viol_cov_2021,violations,M1,(Intercept),0.049173566374,0.31646770334,0.15538257413,0.87651972114,1.0504026494982166
viol_cov_2021,violations,M1,log_inspections,0.69076531883,0.072281463707,9.556603912,1.2168423153e-21,1.9952419453037797
viol_cov_2021,violations,M1,time,0.063053437376,0.036215234506,1.7410749436,0.081670442754,1.065083752991611
viol_cov_2021,violations,M1,time2,-0.024308353788,0.0061520995909,-3.9512289144,7.7750909307e-05,0.9759847147699925
viol_cov_2021,violations,M1,time3,-0.0064888764549,0.0014705162018,-4.4126521332,1.0211199408e-05,0.9935321308414471
viol_cov_2021,violations,M2,(Intercept),-0.077370448343,0.32982696183,-0.23457890742,0.81453558223,0.9255469227674287
viol_cov_2021,violations,M2,log_inspections,0.70926801432,0.074902275654,9.4692452016,2.8187307821e-21,2.0325029509485906
viol_cov_2021,violations,M2,time,0.040892540031,0.036024667619,1.1351260881,0.25632249225,1.0417401541657687
viol_cov_2021,violations,M2,time2,-0.024242559295,0.0063909312506,-3.7932749304,0.00014867338891,0.9760489313020004
viol_cov_2021,violations,M2,time3,-0.0060580523711,0.0015237950715,-3.9756345748,7.0191837363e-05,0.9939602606291325
viol_cov_2021,violations,M2,SPEND_APP_z,0.095061995866,0.16008308169,0.59382912211,0.55262640887,1.0997270315424372
viol_cov_2021,violations,M2,SPEND_WORK_z,-0.31771451454,0.20206696467,-1.5723228934,0.11587568633,0.7278105380846873
viol_cov_2021,violations,M2,lii_2017_z,0.014290962203,0.24341037533,0.058711392987,0.9531819847,1.01439356619061
viol_cov_2021,violations,M3,(Intercept),-0.15625485506,0.32390876854,-0.4824039058,0.62951904706,0.8553411745646187
viol_cov_2021,violations,M3,log_inspections,0.72651792531,0.07468912861,9.7272245483,2.308043864e-22,2.0678675874360963
viol_cov_2021,violations,M3,time,0.050678245589,0.036038592856,1.4062215412,0.15965834952,1.05198435821599
viol_cov_2021,violations,M3,time2,-0.022634320858,0.0064436186413,-3.5126723225,0.0004436242232,0.9776199136281905
viol_cov_2021,violations,M3,time3,-0.0059973167826,0.0015219660361,-3.9405063191,8.130980866e-05,0.9940206312238106
viol_cov_2021,violations,M3,SPEND_APP_z,0.13590713875,0.1661565543,0.81794629961,0.41338785126,1.1455755090816961
viol_cov_2021,violations,M3,SPEND_WORK_z,-0.28753841523,0.18717284869,-1.5362186195,0.12448477088,0.7501077506557303
viol_cov_2021,violations,M3,lii_2017_z,0.09121480998,0.2350014465,0.38814573842,0.69790818572,1.0955043052430673
viol_cov_2021,violations,M3,h2a_per_farmworker_z,-0.13892247076,0.085744293809,-1.6201949376,0.10519040856,0.8702954991913682
viol_cov_2021,violations,M3,dol_demand_met_pct_z,-0.15606236949,0.22142136876,-0.70482072425,0.48092180976,0.8555058312446583
viol_cov_2021,violations,M3,pct_flc_z,0.25866694651,0.1874390724,1.380005477,0.16758495849,1.2952023613184598
viol_cov_2021,violations,M3covid,(Intercept),-0.13221738002,0.32535158348,-0.40638308445,0.68446114661,0.8761505167601766
viol_cov_2021,violations,M3covid,log_inspections,0.7174547498,0.075553201846,9.4960204501,2.1806496041e-21,2.049210813077189
viol_cov_2021,violations,M3covid,time,0.060792866982,0.038444617724,1.5813102218,0.11380712354,1.0626787755270504
viol_cov_2021,violations,M3covid,time2,-0.015289781956,0.01159864506,-1.3182386284,0.18742377817,0.9848265132960197
viol_cov_2021,violations,M3covid,time3,-0.0050731960415,0.0019445400236,-2.6089440073,0.0090822101976,0.9949396508833668
viol_cov_2021,violations,M3covid,SPEND_APP_z,0.13769393243,0.16628649417,0.82805241107,0.40764081873,1.1476242459512596
