state,year,spending_nominal
Alabama,2011,13746618.0
Alabama,2012,11794128.0
Alabama,2013,14672591.0
Alabama,2014,12307485.0
Alabama,2015,13675922.0
Alabama,2016,13259509.0
Alabama,2017,13778916.0
Alabama,2018,13070123.0
Alabama,2019,12958805.0
Alaska,2011,3897466.0
Alaska,2012,7827165.0
Alaska,2013,4401940.0
Alaska,2014,5396109.0
Alaska,2015,4551455.0
Alaska,2016,5317074.0
Alaska,2017,5392374.0
Alaska,2018,5569476.0
Alaska,2019,4998086.0
Arizona,2011,9827130.0
Arizona,2012,8116751.0
Arizona,2013,7742418.0
Arizona,2014,12320680.0
Arizona,2015,10271192.0
Arizona,2016,12922118.0
Arizona,2017,8195399.0
Arizona,2018,12046046.0
Arizona,2019,13612821.0
Arkansas,2011,586515.0
Arkansas,2012,700526.0
Arkansas,2013,252908.0
Arkansas,2014,433655.0
Arkansas,2015,532798.0
Arkansas,2016,557876.0
Arkansas,2017,509359.0
Arkansas,2018,529646.0
Arkansas,2019,518715.0
California,2011,16150587.0
California,2012,14315066.0
California,2013,18923261.0
California,2014,22262334.0
California,2015,13682009.0
California,2016,18869279.0
California,2017,17921858.0
California,2018,15704826.0
California,2019,15159069.0
Colorado,2011,13164925.0
Colorado,2012,12113143.0
Colorado,2013,17104616.0
Colorado,2014,17212991.0
Colorado,2015,12081733.0
Colorado,2016,13754144.0
Colorado,2017,10408291.0
Colorado,2018,13893265.0
Colorado,2019,10863797.0
Connecticut,2011,10275256.0
Connecticut,2012,10052249.0
Connecticut,2013,9503518.0
Connecticut,2014,11430059.0
Connecticut,2015,11681177.0
Connecticut,2016,13230987.0
Connecticut,2017,10204661.0
Connecticut,2018,15234075.0
Connecticut,2019,10357646.0
Delaware,2011,1104278.0
Delaware,2012,426056.0
Delaware,2013,451316.0
Delaware,2014,448500.0
Delaware,2015,528710.0
Delaware,2016,446700.0
Delaware,2017,306700.0
Delaware,2018,306700.0
Delaware,2019,372499.0
Florida,2011,3249813.0
Florida,2012,16627144.0
Florida,2013,18184027.0
Florida,2014,18936247.0
Florida,2015,13105162.0
Florida,2016,20516338.0
Florida,2017,12602229.0
Florida,2018,18413114.0
Florida,2019,16493957.0
Georgia,2011,14244783.0
Georgia,2012,14788645.0
Georgia,2013,15370427.0
Georgia,2014,16400692.0
Georgia,2015,12720691.0
Georgia,2016,14797612.0
Georgia,2017,10498997.0
Georgia,2018,12932608.0
Georgia,2019,13664454.0
Hawaii,2011,608081.0
Hawaii,2012,258325.0
Hawaii,2013,397925.0
Hawaii,2014,375325.0
Hawaii,2015,451538.0
Hawaii,2016,373925.0
Hawaii,2017,332325.0
Hawaii,2018,176325.0
Hawaii,2019,542969.0
Idaho,2011,1395443.0
Idaho,2012,1655562.0
Idaho,2013,1531680.0
Idaho,2014,1566702.0
Idaho,2015,1593683.0
Idaho,2016,1627918.0
Idaho,2017,1102034.0
Idaho,2018,2474295.0
Idaho,2019,1325856.0
Illinois,2011,25708201.0
Illinois,2012,27427995.0
Illinois,2013,17912518.0
Illinois,2014,20899272.0
Illinois,2015,20445832.0
Illinois,2016,21516647.0
Illinois,2017,20383904.0
Illinois,2018,19062787.0
Illinois,2019,16466860.0
Indiana,2011,14078522.0
Indiana,2012,16491036.0
Indiana,2013,9370056.0
Indiana,2014,10228560.0
Indiana,2015,11972095.0
Indiana,2016,11143043.0
Indiana,2017,9508401.0
Indiana,2018,11351956.0
Indiana,2019,12103424.0
Iowa,2011,6720701.0
Iowa,2012,9766283.0
Iowa,2013,5267052.0
Iowa,2014,6460988.0
Iowa,2015,6887819.0
Iowa,2016,7849238.0
Iowa,2017,7324786.0
Iowa,2018,6076530.0
Iowa,2019,5673241.0
Kansas,2011,4464184.0
Kansas,2012,5431974.0
Kansas,2013,6251591.0
Kansas,2014,4210810.0
Kansas,2015,5587402.0
Kansas,2016,6188183.0
Kansas,2017,5325542.0
Kansas,2018,5501482.0
Kansas,2019,5712607.0
Kentucky,2011,5056235.0
Kentucky,2012,5339493.0
Kentucky,2013,9989490.0
Kentucky,2014,11495069.0
Kentucky,2015,10337672.0
Kentucky,2016,10890153.0
Kentucky,2017,10382245.0
Kentucky,2018,13479828.0
Kentucky,2019,11227495.0
Louisiana,2011,14105447.0
Louisiana,2012,8935045.0
Louisiana,2013,11058514.0
Louisiana,2014,11308338.0
Louisiana,2015,11836784.0
Louisiana,2016,11896839.0
Louisiana,2017,11803475.0
Louisiana,2018,10766306.0
Louisiana,2019,10648487.0
Maine,2011,8720154.0
Maine,2012,8631576.0
Maine,2013,9860065.0
Maine,2014,6726533.0
Maine,2015,8233198.0
Maine,2016,9927609.0
Maine,2017,7260459.0
Maine,2018,9089368.0
Maine,2019,8699946.0
Maryland,2011,15166207.0
Maryland,2012,13913914.0
Maryland,2013,4341213.0
Maryland,2014,14473388.0
Maryland,2015,9485317.0
Maryland,2016,14937686.0
Maryland,2017,10854851.0
Maryland,2018,10090312.0
Maryland,2019,11637406.0
Massachusetts,2011,16307317.0
Massachusetts,2012,17884293.0
Massachusetts,2013,19172363.0
Massachusetts,2014,18319348.0
Massachusetts,2015,14887039.0
Massachusetts,2016,27047765.0
Massachusetts,2017,16008558.0
Massachusetts,2018,20848124.0
Massachusetts,2019,17448370.0
Michigan,2011,15280508.0
Michigan,2012,18167016.0
Michigan,2013,20202787.0
Michigan,2014,18524213.0
Michigan,2015,14955716.0
Michigan,2016,13696319.0
Michigan,2017,18054196.0
Michigan,2018,16053898.0
Michigan,2019,14991492.0
Minnesota,2011,18609837.0
Minnesota,2012,20832982.0
Minnesota,2013,13891537.0
Minnesota,2014,16729238.0
Minnesota,2015,16738220.0
Minnesota,2016,15933945.0
Minnesota,2017,16202482.0
Minnesota,2018,16561785.0
Minnesota,2019,17124273.0
Mississippi,2011,8311308.0
Mississippi,2012,7296649.0
Mississippi,2013,7074322.0
Mississippi,2014,9370888.0
Mississippi,2015,7759251.0
Mississippi,2016,7593834.0
Mississippi,2017,9048066.0
Mississippi,2018,7847150.0
Mississippi,2019,6296784.0
Missouri,2011,13479667.0
Missouri,2012,18486786.0
Missouri,2013,11621688.0
Missouri,2014,14113404.0
Missouri,2015,13113105.0
Missouri,2016,14209370.0
Missouri,2017,7726223.0
Missouri,2018,14805285.0
Missouri,2019,10541390.0
Montana,2011,10770316.0
Montana,2012,10186726.0
Montana,2013,11405071.0
Montana,2014,10954113.0
Montana,2015,10253299.0
Montana,2016,10795970.0
Montana,2017,9722972.0
Montana,2018,12069921.0
Montana,2019,9964517.0
Nebraska,2011,4730894.0
Nebraska,2012,6698132.0
Nebraska,2013,4811151.0
Nebraska,2014,5764767.0
Nebraska,2015,5406440.0
Nebraska,2016,5990979.0
