state,random_intercept,random_slope_time
North Carolina,80.26412075500592,13.051479528384686
Illinois,42.00919511969161,6.631591013981925
California,25.426394835727287,4.02242948880994
Texas,23.488275652608245,3.8644355047710555
Florida,21.933351880898474,2.9653655486611235
Pennsylvania,18.99187588308689,3.049721109445715
Georgia,14.757448056746625,2.0506211715199525
Missouri,10.149376226958609,1.3009079349031956
New Jersey,8.20708495534776,1.140695881091822
Wisconsin,5.017137097310304,0.6660520957280212
Minnesota,3.3153000238174495,0.5894151126016346
Indiana,2.554578460905459,0.4465699949158385
Iowa,2.433242834837848,0.4315740968978904
Tennessee,0.9958180717356918,0.05202345661012199
Michigan,-0.7724159175006627,-0.2440809247416267
Hawaii,-1.0215398032023586,-0.05336720946907607
Utah,-1.0545459282708176,-0.0452745843945568
Virginia,-1.131698972786196,-0.05912213694198637
Delaware,-2.2816659958908714,-0.28388778555450805
Oregon,-2.291233267303536,-0.5202514507171937
Washington,-2.9595997540932517,-0.46084296488222337
Kansas,-3.4114614880659824,-0.6076248242855278
Massachusetts,-3.638896326443622,-0.78415177942393
New York,-3.7347305730242693,-0.6715754648819933
South Carolina,-3.872650294892707,-0.48325337455668677
Ohio,-4.460696152659949,-0.7225432110168073
Nebraska,-6.949817871411437,-1.1140174366545932
Alabama,-7.622795255001269,-1.1246696444620947
South Dakota,-8.292990206592709,-1.1893903320676598
North Dakota,-8.334836697266123,-1.2037865883586334
Arizona,-8.604239162772853,-1.2854755167216299
Maryland,-9.475619562416783,-1.426015794724158
Colorado,-9.835085014108294,-1.5327477556520412
Idaho,-10.254255675933212,-1.5927882790818613
Arkansas,-10.663559341307417,-1.633454664654017
Oklahoma,-10.725968267312641,-1.6070721238850187
Montana,-11.075453089065814,-1.7588169601913182
Alaska,-11.2301465464592,-1.762748666561396
Connecticut,-11.320595875441485,-1.7329791392561842
Nevada,-11.911478356549365,-1.8306087291532531
Kentucky,-12.650500694515383,-2.0148335914822306
Wyoming,-12.69634882768155,-2.0253685379527147
Louisiana,-12.859882614216108,-2.005165479761233
New Mexico,-13.151067106854729,-1.9875161603167355
New Hampshire,-13.220244964025266,-2.059085331769056
Maine,-13.964822924573541,-2.2075014057149995
Vermont,-14.072357327038723,-2.2328640890359654
