state,year,time,time2,time3,wps_inspections,wps_violations,log_inspections,log_violations
Alabama,2011,-6,36,-216,98.0,23.0,4.59511985013459,3.1780538303479458
Alabama,2012,-5,25,-125,107.0,20.0,4.68213122712422,3.044522437723423
Alabama,2013,-4,16,-64,199.0,3.0,5.298317366548036,1.3862943611198906
Alabama,2014,-3,9,-27,239.0,0.0,5.480638923341991,0.0
Alabama,2015,-2,4,-8,187.0,54.0,5.236441962829949,4.007333185232471
Alabama,2016,-1,1,-1,129.0,12.0,4.867534450455582,2.5649493574615367
Alabama,2017,0,0,0,153.0,12.0,5.0369526024136295,2.5649493574615367
Alabama,2018,1,1,1,205.0,41.0,5.327876168789581,3.7376696182833684
Alabama,2019,2,4,8,107.0,1.0,4.68213122712422,0.6931471805599453
Alabama,2020,3,9,27,84.0,0.0,4.442651256490317,0.0
Alabama,2021,4,16,64,114.0,0.0,4.74493212836325,0.0
Alaska,2011,-6,36,-216,6.0,12.0,1.9459101490553132,2.5649493574615367
Alaska,2012,-5,25,-125,6.0,6.0,1.9459101490553132,1.9459101490553132
Alaska,2013,-4,16,-64,6.0,7.0,1.9459101490553132,2.0794415416798357
Alaska,2014,-3,9,-27,4.0,0.0,1.6094379124341003,0.0
Alaska,2015,-2,4,-8,4.0,7.0,1.6094379124341003,2.0794415416798357
Alaska,2016,-1,1,-1,4.0,8.0,1.6094379124341003,2.1972245773362196
Alaska,2017,0,0,0,4.0,4.0,1.6094379124341003,1.6094379124341003
Alaska,2018,1,1,1,4.0,14.0,1.6094379124341003,2.70805020110221
Alaska,2019,2,4,8,5.0,10.0,1.791759469228055,2.3978952727983707
Alaska,2020,3,9,27,3.0,6.0,1.3862943611198906,1.9459101490553132
Alaska,2021,4,16,64,4.0,7.0,1.6094379124341003,2.0794415416798357
Arizona,2011,-6,36,-216,101.0,87.0,4.624972813284271,4.477336814478207
Arizona,2012,-5,25,-125,116.0,6.0,4.762173934797756,1.9459101490553132
Arizona,2013,-4,16,-64,138.0,41.0,4.9344739331306915,3.7376696182833684
Arizona,2014,-3,9,-27,168.0,56.0,5.1298987149230735,4.04305126783455
Arizona,2015,-2,4,-8,124.0,34.0,4.8283137373023015,3.5553480614894135
Arizona,2016,-1,1,-1,115.0,58.0,4.7535901911063645,4.07753744390572
Arizona,2017,0,0,0,132.0,49.0,4.890349128221754,3.912023005428146
Arizona,2018,1,1,1,143.0,38.0,4.969813299576001,3.6635616461296463
Arizona,2019,2,4,8,113.0,34.0,4.736198448394496,3.5553480614894135
Arizona,2020,3,9,27,87.0,46.0,4.477336814478207,3.8501476017100584
Arizona,2021,4,16,64,170.0,42.0,5.14166355650266,3.7612001156935624
Arkansas,2011,-6,36,-216,62.0,3.0,4.143134726391533,1.3862943611198906
Arkansas,2012,-5,25,-125,60.0,0.0,4.110873864173311,0.0
Arkansas,2013,-4,16,-64,65.0,6.0,4.189654742026425,1.9459101490553132
Arkansas,2014,-3,9,-27,62.0,0.0,4.143134726391533,0.0
Arkansas,2015,-2,4,-8,66.0,2.0,4.204692619390966,1.0986122886681098
Arkansas,2016,-1,1,-1,65.0,3.0,4.189654742026425,1.3862943611198906
Arkansas,2017,0,0,0,63.0,0.0,4.1588830833596715,0.0
Arkansas,2018,1,1,1,59.0,0.0,4.0943445622221,0.0
Arkansas,2019,2,4,8,66.0,3.0,4.204692619390966,1.3862943611198906
Arkansas,2020,3,9,27,11.0,0.0,2.4849066497880004,0.0
