year,state,occ_code,occ_title,tot_emp,h_mean,a_mean
2011,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",350.0,12.82,26670.0
2012,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",290.0,13.47,28020.0
2013,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",240.0,14.52,30200.0
2014,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",150.0,14.72,30620.0
2015,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",230.0,15.76,32770.0
2016,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",130.0,16.46,34240.0
2017,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",180.0,16.93,35220.0
2018,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",270.0,15.93,33140.0
2019,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,16.74,34820.0
2020,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,15.5,32230.0
2021,Alabama,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.89,41370.0
2011,Arizona,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",260.0,12.6,26200.0
2012,Arizona,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",280.0,12.94,26920.0
2013,Arizona,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",200.0,15.62,32490.0
2014,Arizona,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",470.0,15.44,32120.0
2015,Arizona,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",580.0,16.7,34730.0
2016,Arizona,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",770.0,17.07,35510.0
2017,Arizona,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",700.0,18.54,38560.0
2018,Arizona,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",620.0,18.55,38580.0
2019,Arizona,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",390.0,20.02,41650.0
