state,workers_requested,workers_certified,n_cases,year,workers_gap,demand_met_pct
AK,0.0,30.0,2,2008,-30.0,inf
AL,0.0,619.0,42,2008,-619.0,inf
AR,0.0,3366.0,156,2008,-3366.0,inf
AZ,0.0,6284.0,151,2008,-6284.0,inf
CA,0.0,3199.0,277,2008,-3199.0,inf
CO,0.0,2686.0,300,2008,-2686.0,inf
CT,0.0,655.0,99,2008,-655.0,inf
DE,0.0,53.0,3,2008,-53.0,inf
FL,0.0,5852.0,129,2008,-5852.0,inf
GA,0.0,6492.0,91,2008,-6492.0,inf
HI,0.0,199.0,18,2008,-199.0,inf
IA,0.0,1746.0,40,2008,-1746.0,inf
ID,0.0,3838.0,572,2008,-3838.0,inf
IL,0.0,787.0,39,2008,-787.0,inf
IN,0.0,133.0,17,2008,-133.0,inf
KS,0.0,1097.0,145,2008,-1097.0,inf
KY,0.0,5891.0,800,2008,-5891.0,inf
LA,0.0,6076.0,483,2008,-6076.0,inf
MA,0.0,692.0,210,2008,-692.0,inf
MD,0.0,1140.0,74,2008,-1140.0,inf
ME,0.0,647.0,47,2008,-647.0,inf
MI,0.0,469.0,31,2008,-469.0,inf
MN,0.0,915.0,109,2008,-915.0,inf
MO,0.0,494.0,34,2008,-494.0,inf
MS,0.0,2292.0,128,2008,-2292.0,inf
MT,0.0,792.0,226,2008,-792.0,inf
NC,0.0,16587.0,1461,2008,-16587.0,inf
ND,0.0,897.0,242,2008,-897.0,inf
NE,0.0,177.0,31,2008,-177.0,inf
NH,0.0,269.0,51,2008,-269.0,inf
NJ,0.0,511.0,48,2008,-511.0,inf
NM,0.0,411.0,43,2008,-411.0,inf
NV,0.0,2000.0,95,2008,-2000.0,inf
NY,0.0,4259.0,332,2008,-4259.0,inf
OH,0.0,1177.0,71,2008,-1177.0,inf
OK,0.0,612.0,93,2008,-612.0,inf
OR,0.0,110.0,38,2008,-110.0,inf
PA,0.0,609.0,69,2008,-609.0,inf
RI,0.0,12.0,8,2008,-12.0,inf
SC,0.0,2129.0,42,2008,-2129.0,inf
SD,0.0,489.0,108,2008,-489.0,inf
TN,0.0,2431.0,236,2008,-2431.0,inf
TX,0.0,3090.0,418,2008,-3090.0,inf
UT,0.0,2124.0,259,2008,-2124.0,inf
VA,0.0,4169.0,510,2008,-4169.0,inf
VT,0.0,501.0,70,2008,-501.0,inf
WA,0.0,2826.0,65,2008,-2826.0,inf
WI,0.0,332.0,27,2008,-332.0,inf
WV,0.0,37.0,5,2008,-37.0,inf
WY,0.0,459.0,126,2008,-459.0,inf
AK,0.0,31.0,3,2009,-31.0,inf
AL,0.0,866.0,42,2009,-866.0,inf
AR,0.0,3124.0,144,2009,-3124.0,inf
AZ,0.0,3913.0,74,2009,-3913.0,inf
CA,0.0,3160.0,314,2009,-3160.0,inf
CO,0.0,2397.0,308,2009,-2397.0,inf
CT,0.0,465.0,79,2009,-465.0,inf
DE,0.0,57.0,4,2009,-57.0,inf
FL,0.0,5823.0,92,2009,-5823.0,inf
GA,0.0,6654.0,95,2009,-6654.0,inf
HI,0.0,258.0,16,2009,-258.0,inf
IA,0.0,1339.0,30,2009,-1339.0,inf
ID,0.0,3842.0,600,2009,-3842.0,inf
IL,0.0,502.0,33,2009,-502.0,inf
IN,0.0,101.0,16,2009,-101.0,inf
KS,0.0,893.0,131,2009,-893.0,inf
KY,0.0,5992.0,729,2009,-5992.0,inf
LA,0.0,6806.0,519,2009,-6806.0,inf
MA,0.0,969.0,162,2009,-969.0,inf
MD,0.0,891.0,73,2009,-891.0,inf
ME,0.0,1310.0,226,2009,-1310.0,inf
MI,0.0,461.0,36,2009,-461.0,inf
MN,0.0,768.0,89,2009,-768.0,inf
MO,0.0,355.0,32,2009,-355.0,inf
MS,0.0,2024.0,120,2009,-2024.0,inf
MT,0.0,695.0,209,2009,-695.0,inf
NC,0.0,16040.0,1005,2009,-16040.0,inf
ND,0.0,875.0,225,2009,-875.0,inf
NE,0.0,222.0,33,2009,-222.0,inf
NH,0.0,587.0,61,2009,-587.0,inf
NJ,0.0,581.0,43,2009,-581.0,inf
NM,0.0,557.0,38,2009,-557.0,inf
NV,0.0,2076.0,121,2009,-2076.0,inf
NY,0.0,4421.0,342,2009,-4421.0,inf
OH,0.0,1293.0,78,2009,-1293.0,inf
OK,0.0,673.0,90,2009,-673.0,inf
OR,0.0,81.0,41,2009,-81.0,inf
PA,0.0,700.0,72,2009,-700.0,inf
RI,0.0,4.0,3,2009,-4.0,inf
SC,0.0,2030.0,51,2009,-2030.0,inf
SD,0.0,544.0,113,2009,-544.0,inf
TN,0.0,2487.0,203,2009,-2487.0,inf
TX,0.0,2807.0,395,2009,-2807.0,inf
UT,0.0,2397.0,244,2009,-2397.0,inf
VA,0.0,3907.0,502,2009,-3907.0,inf
VT,0.0,459.0,65,2009,-459.0,inf
WA,0.0,2066.0,54,2009,-2066.0,inf
WI,0.0,391.0,27,2009,-391.0,inf
WV,0.0,48.0,4,2009,-48.0,inf
WY,0.0,455.0,132,2009,-455.0,inf
AK,0.0,20.0,1,2010,-20.0,inf
AL,0.0,547.0,30,2010,-547.0,inf
AR,0.0,3075.0,130,2010,-3075.0,inf
AZ,0.0,4712.0,264,2010,-4712.0,inf
CA,0.0,2839.0,192,2010,-2839.0,inf
CO,0.0,1848.0,245,2010,-1848.0,inf
CT,0.0,438.0,80,2010,-438.0,inf
DE,0.0,46.0,4,2010,-46.0,inf
FL,0.0,4542.0,60,2010,-4542.0,inf
GA,0.0,4874.0,78,2010,-4874.0,inf
HI,0.0,70.0,9,2010,-70.0,inf
IA,0.0,871.0,30,2010,-871.0,inf
ID,0.0,4328.0,569,2010,-4328.0,inf
IL,0.0,588.0,24,2010,-588.0,inf
IN,0.0,71.0,13,2010,-71.0,inf
