state,year,Association / Joint Employer,Farm Labor Contractor,Owner / Operator (Direct),total_certified,pct_Farm Labor Contractor,pct_Owner / Operator (Direct),pct_Association / Joint Employer
AK,2020,0.0,0.0,20.0,20.0,0.0,100.0,0.0
AL,2020,79.0,623.0,1074.0,1776.0,35.1,60.5,4.4
AR,2020,174.0,224.0,4072.0,4470.0,5.0,91.1,3.9
AZ,2020,0.0,2942.0,5660.0,8602.0,34.2,65.8,0.0
CA,2020,209.0,16729.0,8515.0,25453.0,65.7,33.5,0.8
CO,2020,217.0,347.0,2689.0,3253.0,10.7,82.7,6.7
CT,2020,0.0,198.0,912.0,1110.0,17.8,82.2,0.0
DE,2020,0.0,447.0,152.0,599.0,74.6,25.4,0.0
FL,2020,0.0,21144.0,17920.0,39064.0,54.1,45.9,0.0
GA,2020,210.0,18680.0,8724.0,27614.0,67.6,31.6,0.8
HI,2020,0.0,56.0,122.0,178.0,31.5,68.5,0.0
IA,2020,0.0,3114.0,863.0,3977.0,78.3,21.7,0.0
ID,2020,750.0,192.0,3799.0,4741.0,4.0,80.1,15.8
IL,2020,0.0,1972.0,993.0,2965.0,66.5,33.5,0.0
IN,2020,0.0,2809.0,822.0,3631.0,77.4,22.6,0.0
KS,2020,1.0,635.0,777.0,1413.0,44.9,55.0,0.1
KY,2020,24.0,246.0,6682.0,6952.0,3.5,96.1,0.3
LA,2020,583.0,2478.0,8271.0,11332.0,21.9,73.0,5.1
MA,2020,7.0,0.0,493.0,500.0,0.0,98.6,1.4
MD,2020,0.0,327.0,927.0,1254.0,26.1,73.9,0.0
ME,2020,0.0,112.0,770.0,882.0,12.7,87.3,0.0
MI,2020,197.0,5773.0,3942.0,9912.0,58.2,39.8,2.0
MN,2020,2.0,452.0,1806.0,2260.0,20.0,79.9,0.1
MO,2020,4.0,830.0,929.0,1763.0,47.1,52.7,0.2
MS,2020,59.0,670.0,4792.0,5521.0,12.1,86.8,1.1
MT,2020,0.0,195.0,904.0,1099.0,17.7,82.3,0.0
NC,2020,328.0,6326.0,15398.0,22052.0,28.7,69.8,1.5
ND,2020,16.0,248.0,1928.0,2192.0,11.3,88.0,0.7
NE,2020,0.0,1610.0,1145.0,2755.0,58.4,41.6,0.0
NH,2020,0.0,0.0,234.0,234.0,0.0,100.0,0.0
NJ,2020,8.0,250.0,1718.0,1976.0,12.7,86.9,0.4
NM,2020,116.0,374.0,709.0,1199.0,31.2,59.1,9.7
NV,2020,0.0,62.0,2769.0,2831.0,2.2,97.8,0.0
NY,2020,452.0,0.0,8030.0,8482.0,0.0,94.7,5.3
OH,2020,24.0,799.0,2263.0,3086.0,25.9,73.3,0.8
OK,2020,0.0,244.0,612.0,856.0,28.5,71.5,0.0
OR,2020,161.0,761.0,2112.0,3034.0,25.1,69.6,5.3
PA,2020,82.0,246.0,1720.0,2048.0,12.0,84.0,4.0
RI,2020,0.0,0.0,4.0,4.0,0.0,100.0,0.0
SC,2020,8.0,977.0,4957.0,5942.0,16.4,83.4,0.1
SD,2020,2.0,595.0,1194.0,1791.0,33.2,66.7,0.1
TN,2020,10.0,693.0,3953.0,4656.0,14.9,84.9,0.2
TX,2020,365.0,2028.0,4203.0,6596.0,30.7,63.7,5.5
UT,2020,2.0,163.0,1240.0,1405.0,11.6,88.3,0.1
VA,2020,3.0,69.0,3868.0,3940.0,1.8,98.2,0.1
VT,2020,0.0,0.0,464.0,464.0,0.0,100.0,0.0
WA,2020,3849.0,1893.0,21090.0,26832.0,7.1,78.6,14.3
WI,2020,13.0,920.0,1064.0,1997.0,46.1,53.3,0.7
WV,2020,0.0,0.0,239.0,239.0,0.0,100.0,0.0
WY,2020,0.0,52.0,403.0,455.0,11.4,88.6,0.0
AK,2021,0.0,0.0,54.0,54.0,0.0,100.0,0.0
AL,2021,42.0,429.0,1208.0,1679.0,25.6,71.9,2.5
AR,2021,173.0,321.0,4645.0,5139.0,6.2,90.4,3.4
AZ,2021,0.0,7659.0,3183.0,10842.0,70.6,29.4,0.0
CA,2021,160.0,22631.0,9542.0,32333.0,70.0,29.5,0.5
CO,2021,228.0,330.0,2930.0,3488.0,9.5,84.0,6.5
CT,2021,0.0,296.0,974.0,1270.0,23.3,76.7,0.0
DE,2021,0.0,858.0,161.0,1019.0,84.2,15.8,0.0
FL,2021,172.0,34166.0,10368.0,44706.0,76.4,23.2,0.4
GA,2021,303.0,23714.0,11188.0,35205.0,67.4,31.8,0.9
HI,2021,0.0,58.0,153.0,211.0,27.5,72.5,0.0
IA,2021,0.0,3369.0,661.0,4030.0,83.6,16.4,0.0
ID,2021,1015.0,191.0,4362.0,5568.0,3.4,78.3,18.2
IL,2021,0.0,1884.0,1126.0,3010.0,62.6,37.4,0.0
IN,2021,22.0,3554.0,885.0,4461.0,79.7,19.8,0.5
KS,2021,12.0,687.0,886.0,1585.0,43.3,55.9,0.8
KY,2021,25.0,351.0,6917.0,7293.0,4.8,94.8,0.3
LA,2021,609.0,2678.0,9186.0,12473.0,21.5,73.6,4.9
MA,2021,7.0,0.0,477.0,484.0,0.0,98.6,1.4
MD,2021,30.0,187.0,972.0,1189.0,15.7,81.7,2.5
ME,2021,0.0,125.0,974.0,1099.0,11.4,88.6,0.0
MI,2021,331.0,6656.0,4389.0,11376.0,58.5,38.6,2.9
MN,2021,5.0,767.0,2063.0,2835.0,27.1,72.8,0.2
MO,2021,4.0,723.0,925.0,1652.0,43.8,56.0,0.2
MS,2021,59.0,717.0,5713.0,6489.0,11.0,88.0,0.9
MT,2021,11.0,139.0,1048.0,1198.0,11.6,87.5,0.9
NC,2021,263.0,7913.0,15303.0,23479.0,33.7,65.2,1.1
ND,2021,21.0,229.0,2064.0,2314.0,9.9,89.2,0.9
NE,2021,0.0,1389.0,1066.0,2455.0,56.6,43.4,0.0
NH,2021,0.0,0.0,252.0,252.0,0.0,100.0,0.0
NJ,2021,0.0,280.0,2022.0,2302.0,12.2,87.8,0.0
NM,2021,0.0,480.0,897.0,1377.0,34.9,65.1,0.0
NV,2021,159.0,62.0,2880.0,3101.0,2.0,92.9,5.1
NY,2021,470.0,139.0,8583.0,9192.0,1.5,93.4,5.1
OH,2021,59.0,1168.0,2506.0,3733.0,31.3,67.1,1.6
OK,2021,130.0,235.0,732.0,1097.0,21.4,66.7,11.9
OR,2021,192.0,662.0,2438.0,3292.0,20.1,74.1,5.8
PA,2021,93.0,481.0,1923.0,2497.0,19.3,77.0,3.7
RI,2021,0.0,0.0,4.0,4.0,0.0,100.0,0.0
SC,2021,16.0,1387.0,5439.0,6842.0,20.3,79.5,0.2
SD,2021,0.0,827.0,1145.0,1972.0,41.9,58.1,0.0
TN,2021,6.0,891.0,4828.0,5725.0,15.6,84.3,0.1
TX,2021,333.0,3080.0,5140.0,8553.0,36.0,60.1,3.9
UT,2021,2.0,6.0,1559.0,1567.0,0.4,99.5,0.1
VA,2021,19.0,207.0,4378.0,4604.0,4.5,95.1,0.4
VT,2021,0.0,0.0,485.0,485.0,0.0,100.0,0.0
WA,2021,3530.0,2306.0,22891.0,28727.0,8.0,79.7,12.3
WI,2021,14.0,1077.0,1238.0,2329.0,46.2,53.2,0.6
