 ,establishments-2014,establishments-2015,establishments-2016,establishments-2017,establishments-2018,establishments-2019,inspections-epa-2011,inspections-state-2011,violations-2011,actions-epa-2011,actions-state-2011,penalties-epa-2011,inspections-epa-2012,inspections-state-2012,violations-2012,actions-epa-2012,actions-state-2012,penalties-epa-2012,inspections-epa-2013,inspections-state-2013,violations-2013,actions-epa-2013,actions-state-2013,penalties-epa-2013,inspections-epa-2014,inspections-state-2014,violations-2014,actions-epa-2014,actions-state-2014,penalties-epa-2014,inspections-epa-2015,inspections-state-2015,violations-2015,actions-epa-2015,actions-state-2015,penalties-epa-2015,inspections-epa-2016,inspections-state-2016,violations-2016,actions-epa-2016,actions-state-2016,penalties-epa-2016,inspections-epa-2017,inspections-state-2017,violations-2017,actions-epa-2017,actions-state-2017,penalties-epa-2017,inspections-epa-2018,inspections-state-2018,violations-2018,actions-epa-2018,actions-state-2018,penalties-epa-2018,inspections-epa-2019,inspections-state-2019,violations-2019,actions-epa-2019,actions-state-2019,penalties-epa-2019
Foreign-total,2509,2667,2864,3199,3199,4779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK-Chin Indian Community ,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,0,,,0,,,0,,,,,,,,,,
Alabama,130,121,114,115,115,125,,23,5,3,8,1452,,19,2,2,3,7220,,24,1,1,1,1650,,22,1,1,5,1650,,29,2,1,9,19700,4,31,8,7,6,7800,,33,4,4,0,4000,1,31,3,3,0,1200,1,20,3,2,,0
Alaska,3,3,4,3,3,5,,0,,,0,,,0,,,0,,,0,1,1,0,8000,,0,1,1,0,8000,,0,0, ,0,0,2,0,2,1,0,,,0,,,0,,,0,,,0,,,0,,,,
American Samoa,,0,,,,,,0,,,0,,,0,,,0,,6,0,,,0,,,0,,,0,,,0,0,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,1,0,,,,
Arizona,79,84,83,81,81,97,,8,3,3,0,12400,,7,2,2,6,224640,,14,3,3,9,7865,1,15,2,2,17,7865,11,20,6,4,20,118560,3,21,3,3,0,880,9,22,12,6,17,0,8,13,9,6,1,356227,,24,8,8,14,300
Arkansas,155,154,149,151,151,155,1,35,3,3,0,7600,,27,,,0,,,17,2,1,0,1512000,1,17,2,1,0,1512000,1,22,1,1,0,1100,,20,4,3,0,,3,33,7,7,0,0,,16,4,4,0,3000,,14,6,6,,130200
California,519,509,516,485,485,670,9,50,17,17,18,405761,8,44,8,7,6,44140,6,50,9,9,30,463599,13,42,9,9,26,463599,25,40,21,17,17,106280,18,50,46,38,11,481240,12,50,44,26,11,207976,16,50,63,59,5,377006,20,50,47,42,10,89205
Cheyenne River Sioux Tribe,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,0,,,0,,,0,,,,,,,,,,
Cocopah Indian Tribe,,0,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,0,,,0,,,0,,,0,,,,,,,
Coeur D'Alene Tribe,126,0,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,1,,,1,,,0,,,,,,,,,2,,,2,,,1,,,0,,,,,,,
Colorado,,130,137,129,129,149,22,0,6,6,0,244660,21,86,8,7,0,1360,51,0,1,1,0,0,25,0,1,1,0,,25,0,2,2,0,0,54,0,2,2,0,,30,13,5,2,0,35751,44,0,1,1,0,,40,0,17,17,,300
Colorado River Indian Tribes,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,0,,,0,,,0,,,0,,,,,,,
Confederated Salish and Kootenai Tribes ,44,0,,,,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,1,,,0,,,,,,,,,0,,,0,,,0,,,0,,,,,,,
Connecticut,,47,48,42,42,60,2,5,5,3,1,3628,4,5,9,10,0,10470,,4,6,3,0,50000,5,2,6,3,0,50000, ,5,3,3,0,268140,,5,1,1,0,0,4,0,4,0,0,0,3,0,5,4,0,76833,8,5,9,9,,0
Delaware,29,27,27,25,25,31,2,5,6,5,0,9300,1,5,2,2,0,5500,6,5,,,0,,2,5,,,0,,1,5,3,2,0,1200,7,5,6,5,0,20900,1,5,6,5,0,800,3,5,10,8,0,107500,1,5,2,2,,25000
District of Columbia,1,1,1,3,3,1,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1,1,0,,,0,6,4,0,0,,1,,,0,,,1,,,,
Duck Valley Indian Reservation,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,1418,1476,1520,1585,1585,1712,1,63,24,15,27,128949,1,85,30,17,30,83025,2,79,22,15,15,64500,,90,22,15,21,64500,7,112,25,21,13,337200,,70,34,33,7,40110,3,33,60,34,1,25106,3,64,19,19,3,4800,,52,19,18,10,8720
Fort Mojave Indian Tribe,,0,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,0,, ,,,,,,,,,,,,,2,,,0,,,1,,,0,,,,,,,
Fort Peck Tribes,,0,,,,,,0,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,398,405,409,419,419,487,6,60,18,13,9,122141,18,65,18,12,11,173648,10,54,17,10,10,385435,10,52,17,10,7,385435,7,47,8,8,13,5800,7,47,38,38,12,309450,9,44,26,17,9,22651,11,34,12,8,13,33100,13,45,18,17,11,1900
Gila River Indian Community ,,0,,,,,,1,,,0,,,1,,,0,,,1,,,0,,,0,,,0,, ,1,,,0,,,,,,,,,0,,,0,,,0,,,0,,,,,,,
Guam,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,4,0,1,1,,0
Gulf of Mexico East,,,,,,,,,,,,,,,3,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,17,16,16,11,11,17,,15,2,2,0,239030,,3,,,3,,,9,,,0,,,6,,,0,,,6,,,0,,4,6,4,4,1,33750,8,10,2,2,1,26730,3,7,3,2,2,318535,3,2,2,2,,0
Hopi Tribe,,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,121,119,113,111,111,111,,4,2,2,5,640,,4,3,2,3,15360,,13,4,4,4,115040,,13,4,4,4,115040,,4,2,2,5,5520,,10,1,1,8,5720,,4,9,7,0,13180,6,4,4,4,4,,,5,6,6,2,1100
Illinois,878,902,868,868,868,935,6,23,18,20,0,138580,18,26,12,15,2,180000,3,21,16,16,18,463060,9,35,16,15,29,463060,2,28,22,22,28,731978,6,29,36,34,29,92570,6,11,84,61,11,58742,10,10,33,32,0,5087630,3,12,38,32,,782076
Indiana,462,447,426,431,431,457,1,31,2,3,0,25676,3,27,10,9,2,0,2,27,4,3,2,7200,,29,4,3,17,7200,,28,10,9,16,165578,3,16,14,14,1,77400,,11,37,34,0,32628,,14,14,9,0,49360,,11,20,18,,22769
Inter Tribal Council of Arizona ,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
