state_code,h2a_workers,operations,workers_per_operation
AK,22,990.0,0.022222222222222223
AL,32,40592.0,0.0007883326763894363
AR,2990,42625.0,0.0701466275659824
AZ,2108,19086.0,0.11044744839149115
CA,10509,70521.0,0.14901944101756923
CO,1225,38893.0,0.031496670351991364
CT,1,5521.0,0.00018112660749864155
DE,23,2302.0,0.00999131190269331
FL,33652,47590.0,0.7071233452405967
GA,28064,42439.0,0.6612785409646788
HI,60,7328.0,0.008187772925764192
IA,4184,86104.0,0.04859239988850692
ID,4680,24996.0,0.1872299567930869
IL,73,72651.0,0.0010048037879726362
IN,113,56649.0,0.0019947395364437147
KS,399,58569.0,0.006812477590534241
KY,8861,75966.0,0.11664428823421004
LA,6052,27386.0,0.22098882640765355
MA,5,7241.0,0.0006905123601712471
MD,480,12429.0,0.038619357953174026
ME,333,7600.0,0.04381578947368421
MI,2551,47641.0,0.05354631514871644
MN,1006,68822.0,0.014617418848623987
MO,839,95320.0,0.00880193033990768
MS,2604,34988.0,0.07442551732022408
MT,236,27048.0,0.008725229222123631
NC,16071,46418.0,0.34622344780042225
ND,761,26364.0,0.028865119101805493
NE,298,46332.0,0.0064318397651730985
NH,2046,4123.0,0.49624060150375937
NJ,413,9883.0,0.041788930486694326
NM,316,25044.0,0.012617792684874621
NV,856,3423.0,0.25007303534910896
NY,4172,33438.0,0.12476822776481847
OH,361,77805.0,0.00463980463980464
OK,1212,78531.0,0.015433395729075143
OR,1051,37616.0,0.02794023819651212
PA,452,53157.0,0.008503113418740712
RI,0,1043.0,0.0
SC,3663,24791.0,0.14775523375418498
SD,538,29968.0,0.017952482648158036
TN,624,69983.0,0.008916451138133547
TX,2804,248416.0,0.011287517712224655
UT,484,18409.0,0.026291487859199304
VA,8948,43225.0,0.20700983227299016
VT,1254,6808.0,0.18419506462984725
WA,7854,35793.0,0.21942837985080882
WI,240,64793.0,0.0037041038383776024
WV,103,23622.0,0.004360342054017441
WY,1385,11938.0,0.11601608309599598
