Year,State,Generated Internal ID,CFDA Number,Recipient,Type Description,Description,Total Obligation
2008,AL,ASST_NON_98408807_6800,66.7,ALABAMA DEPARTMENT OF AGRICULTURE & INDUSTRIES,,"FUNDING IS PROVIDED FOR A COMPREHENSIVE PROGRAM OF REGISTRATION, LABELING, TRAINING, CERTIFICATION, INSPECTIONS AND ENFORCEMENT WHICH WILL PREVENT U",355667
2008,AL,ASST_NON_83411601_6800,66.716,"IPM INSTITUTE OF NORTH AMERICA, INC.",,THE PROJECT WILL DEVELOP DEMONSTRATION SITES FOR IPM IN SCHOOLS AND TRACK PROGRESS OF THE APPROACHES IMPLEMENTED TO PROMOTE THESE TECHNIQUES SO THAT,250000
2008,AK,ASST_NON_97086301_6800,66.716,THE AMERICAN FARMLAND TRUST,,THE GRANT RECIPIENT WILL ADMINISTER A COMPETITIVE GRANTS PROGRAM WITH PROJECTS THAT REDUCE PESTICIDE RISK TO HUMAN AND ECOLOGICAL HEALTH BY IMPLEMEN,190000
2008,AK,ASST_NON_96036603_6800,66.7,ENVIRONMENTAL CONSERVATION ALASKA DEPARTMENT,,"DURING THE PROJECT PERIOD, THE ALASKA DEPARTMENT OF ENVIRONMENTAL CONSERVATION WILL COOPERATE IN THE ENFORCEMENT OF THE FEDERAL INSECTICIDE, FUNGICI",287249
2008,AZ,ASST_NON_83237601_6800,66.716,ASSOCIATION OF FARMWORKER OPPORTUNITY PROGRAMS,,TO CONTINUE A NATIONAL TRAIN-THE-TRAINER PROGRAM TO EDUCATE FARMWORKERS ABOUT HOW TO REDUCE RISKS FROM PESTICIDES,399999
2008,AZ,ASST_NON_00935309_6800,66.7,ARIZONA DEPARTMENT OF AGRICULTURE,,"THIS AGREEMENT IS TO SUPPORT THE ARIZONA DEPARTMENT OF AGRICULTURE (ADA) IN ENSURING THAT PESTICIDES ARE MANUFACTURED, SOLD, USED, AND STORED ACCORD",627200
2008,AZ,ASST_NON_00936409_6800,66.7,INTER-TRIBAL COUNCIL OF ARIZONA INC.,,"THE PURPOSE OF THIS PROGRAM IS TO SUPPORT INTER TRIBAL COUNCIL OF ARIZONA IN ENSURING THAT PESTICIDES ARE SOLD, USED, AND STORED ACCORDING TO APPLIC",387584
2008,AZ,ASST_NON_00937609_6800,66.7,NAVAJO NATION TRIBAL GOVERNMENT,,"THE PURPOSE OF THIS AGREEMENT IS TO SUPPORT THE NAVAJO NATION ENVIRONMENTAL PROTECTION AGENCY (NNEPA) IN ENSURING THAT PESTICIDES ARE MANUFACTURED,",227000
2008,AZ,ASST_NON_96994509_6800,66.7,COLORADO RIVER INDIAN TRIBES,,"THIS AGREEMENT IS TO SUPPORT COLORADO RIVER INDIAN TRIBE IN ENSURING THAT PESTICIDES ARE MANUFACTURED, SOLD, USED, AND STORED ACCORDING TO THE TRIBE",95200
2008,AZ,ASST_NON_98936308_6800,66.7,HOPI TRIBE,,THIS PROJECT WILL IMPROVE UNDERSTANDING OF AND COMPLIANCE WITH PESTICIDE LAWS AND REGULATIONS BY:  1)  PROVIDING COMPLIANCE ASSISTANCE TO THE REGULA,70004
2008,AZ,ASST_NON_99904808_6800,66.7,GILA RIVER INDIAN COMMUNITY,,"THE GILA RIVER INDIAN COMMUNITY WILL CONDUCT FIFRA COMPLIANCE INSPECTIONS, TAKE APPROPRIATE ENFORCEMENT ACTIONS, AND IMPLEMENT WORKER SAFETY PROGRAM",40000
2008,AZ,ASST_NON_99904809_6800,66.7,GILA RIVER INDIAN COMMUNITY,,"THIS AGREEMENT IS TO SUPPORT THE GILA RIVER INDIAN COMMUNITY IN ENSURING THAT PESTICIDES ARE MANUFACTURED, SOLD, USED, AND STORED ACCORDING TO FEDER",110000
2008,AZ,ASST_NON_97900409_6800,66.7,AK-CHIN INDIAN COMMUNITY,,"THE AK-CHIN INDIAN COMMUNITY WILL BE ENSURING THAT PESTICIDES ARE SOLD, USED AND STORED ACCORDING TO THE FEDERAL INSECTICIDE, FUNGICIDE, AND RODENTI",60000
2008,AR,ASST_NON_00635109_6800,66.7,ARKANSAS STATE PLANT BOARD,,THE PURPOSE OF THIS FISCAL YEAR 2009 COOPERATIVE AGREEMENT WITH THE ARKANSAS STATE PLANT BOARD IS TO ADMINISTER THE FOLLOWING:  (1) A COMPREHENSIVE,317185
2008,AR,ASST_NON_00635108_6800,66.7,ARKANSAS STATE PLANT BOARD,,THE PURPOSE OF THIS FISCAL YEAR 2008 COOPERATIVE AGREEMENT WITH THE ARKANSAS STATE PLANT BOARD IS TO  ADMINISTER THE FOLLOWING:(1) A COMPREHENSIVE A,152940
2008,CA,ASST_NON_00915509_6800,66.7,STATE OF CAL DEP OF PESTICIDE,,"THIS AGREEMENT IS TO SUPPORT THE CALIFORNIA DEPARTMENT OF PESTICIDE REGULATION IN ENSURING THAT PESTICIDES ARE MANUFACTURED, SOLD, USED, AND STORED",2132927
